trait	method	compartment	category	prop_snps	prop_h2	prop_h2_se	enrichment	enrichment_se	enrichment_p	coefficient	coefficient_se	coefficient_z	total_h2	intercept	lambda_gc	n_snps
EA	method1_distance	epithelial	L2_0	0.0887986715335054	0.1605413784368545	0.0572616783947566	1.8079254527617463	0.6448483677275592	0.2158323799137871	-3.721841042857207e-09	9.384030617969795e-09	-0.3966143328358422	0.0767	1.0381	1.1974	1008364.0
EA	method1_distance	immune	L2_0	0.0744153947244151	0.1301574686123237	0.028276856272092	1.7490664276436332	0.3799866462687004	0.0540332184078482	-6.681451605928857e-10	4.1974409756254485e-09	-0.1591791676101716	0.0767	1.0381	1.1974	1008364.0
EA	method1_distance	stromal	L2_0	0.0645825753012123	0.112737343375931	0.0535237033158463	1.745630967023618	0.8287638432845456	0.3766478020472207	-1.639383086521474e-08	1.1880396618355077e-08	-1.3799060243398322	0.0765	1.0383	1.1974	1008364.0
EA	method2_cicero	epithelial	L2_0	0.0352134542963876	0.0727232209075293	0.0328282729348936	2.065211219990695	0.9322650558102534	0.2584799029265844	-1.3352460318580181e-08	1.1903195433026202e-08	-1.1217542712550024	0.0767	1.038	1.1974	1008364.0
EA	method2_cicero	immune	L2_0	0.0583763996229592	0.0988855705997424	0.0233774038852106	1.6939306164549952	0.4004598439814771	0.0903432289083111	-1.0883372131538775e-09	4.148788565243009e-09	-0.262326507133084	0.0767	1.0381	1.1974	1008364.0
EA	method2_cicero	stromal	L2_0	0.0283570694893392	0.0486788260074557	0.0378321412314304	1.716638104150939	1.3341343768139833	0.5941945993264754	-2.29170503096614e-08	1.9315559325867823e-08	-1.1864554333133073	0.0765	1.0382	1.1974	1008364.0
EA	method2b_glasso	epithelial	L2_0	0.0122885499279586	0.0309097055382357	0.0286815768602118	2.5153257072187687	2.334008245753728	0.5169631022492518	-2.341587691864476e-09	3.1803294405815693e-08	-0.0736272054707729	0.0767	1.0381	1.1974	1008364.0
EA	method2b_glasso	immune	L2_0	0.0106752730467347	0.0228483983519694	0.0166921634179561	2.140310440018033	1.5636287095309302	0.4707539468494729	-8.696398862999254e-09	1.6734677014398346e-08	-0.5196633825389615	0.0767	1.0381	1.1974	1008364.0
EA	method2b_glasso	stromal	L2_0	0.010665878900395	0.0251580494890242	0.0159841896015904	2.358741339927688	1.4986284534881065	0.3709058017206275	-8.324160542144408e-09	6.37463462331929e-09	-1.3058255153469476	0.0766	1.0381	1.1974	1008364.0
EA	method3_abc	epithelial	L2_0	0.0081400278033181	0.020747331614385	0.0252728984292522	2.5488035318414775	3.104768072039051	0.6187923389193316	-3.350249289005346e-09	3.785449903088472e-08	-0.0885033318304369	0.0767	1.0381	1.1974	1008364.0
EA	method3_abc	immune	L2_0	0.0408995968736951	0.0581061157069513	0.0173204872048014	1.4207014285835804	0.4234879688005248	0.3267264091231141	-5.239921950400435e-10	4.088617062892144e-09	-0.1281587849827613	0.0767	1.0381	1.1974	1008364.0
EA	method3_abc	stromal	L2_0	0.0080933925768462	0.0231235188342064	0.0256759288592216	2.8570860259959185	3.1724556316069483	0.5600820685081851	-1.401039082876844e-09	3.850218516440908e-08	-0.0363885602049399	0.0767	1.0381	1.1974	1008364.0
EA	method4a_paired	epithelial	L2_0	0.0024547239890766	0.0371179079602149	0.0206326040048251	15.121010804223822	8.405264337921093	0.0883106810827045	1.7602920592308753e-07	1.141897490379367e-07	1.5415499850569447	0.0767	1.0382	1.1974	1008364.0
EA	method4a_paired	immune	L2_0	0.0053544956609947	-0.0030747231783955	0.0205537933277127	-0.5742320795576622	3.838604908663647	0.6819622707543662	-3.8685727365784053e-08	5.1282384063910435e-08	-0.7543667883609341	0.0767	1.0381	1.1974	1008364.0
EA	method4a_paired	stromal	L2_0	0.0033931321073636	-0.0114313408803758	0.0158896144808903	-3.368964283933372	4.682875283991192	0.3423261587022839	-8.65565852547332e-08	5.8356454051872664e-08	-1.4832392862286257	0.0766	1.0383	1.1974	1008364.0
EA	method4b_crosscohort	epithelial	L2_0	0.0023483688323025	0.0170584227459031	0.0239100162802486	7.26394530163193	10.18154216295098	0.5372127370362503	6.0538739932176e-08	1.3588106898622058e-07	0.4455274041030329	0.0767	1.038	1.1974	1008364.0
EA	method4b_crosscohort	immune	L2_0	0.005291923936268	-0.0011701540780473	0.0246778740009518	-0.2211207288955375	4.663308524112096	0.7933786695568841	-3.4021793523626254e-08	6.243990353572592e-08	-0.5448726150603385	0.0767	1.038	1.1974	1008364.0
EA	method4b_crosscohort	stromal	L2_0	0.0032966743547689	-0.0197634759273374	0.0167751804404124	-5.994973661486415	5.088516072612887	0.1597519783584811	-1.231797253640025e-07	6.405793090979547e-08	-1.9229426179478175	0.0766	1.0382	1.1974	1008364.0
EA	method5_re2g	epithelial	L2_0	0.0887953164812413	0.1604871190579068	0.0572643738990786	1.8073827023501965	0.644903089130564	0.2161757717875402	-3.731817171906892e-09	9.384989600759249e-09	-0.3976367935032114	0.0767	1.0381	1.1974	1008364.0
EA	method5_re2g	immune	L2_0	0.074413717198283	0.1301409168871719	0.0282767933527741	1.7488834288495216	0.3799943668642119	0.0540963457061289	-6.715276182013457e-10	4.197466440393387e-09	-0.159984035069119	0.0767	1.0381	1.1974	1008364.0
EA	method5_re2g	stromal	L2_0	0.0645782137332689	0.1125285993119801	0.0535343988408451	1.742516443343623	0.828985438680006	0.3787420357136645	-1.6455275966959014e-08	1.1885748866854101e-08	-1.3844542864983456	0.0765	1.0383	1.1974	1008364.0
EA	method5_re2g_continuous	epithelial	L2_0	0.088376057956347	0.1598318646510862	0.0569972205179653	1.8085425888766664	0.6449396118812957	0.2156158262517486	-3.749599317980595e-09	9.440306072337952e-09	-0.3971904395099748	0.0767	1.0381	1.1974	1008364.0
EA	method5_re2g_continuous	immune	L2_0	0.0742198738649648	0.1297457410172647	0.0281556774482994	1.7481266709415766	0.3793549622507538	0.0539385722326218	-6.714351899339705e-10	4.1975312702299105e-09	-0.1599595444817721	0.0767	1.0381	1.1974	1008364.0
EA	method5_re2g_continuous	stromal	L2_0	0.0641919744776141	0.1124270654305139	0.0528384371807777	1.7514193377821858	0.8231315146600496	0.369798217160539	-1.6421814671544764e-08	1.1855905718964682e-08	-1.3851168405697138	0.0765	1.0383	1.1974	1008364.0
Height	method1_distance	epithelial	L2_0	0.0887986715335054	0.2278677727338603	0.0342358165313358	2.5661169114211506	0.3855442422741427	5.4025959933791254e-05	-3.07571889237285e-08	3.674566583442271e-08	-0.8370290271054415	0.445	1.7201	5.0943	1080092.0
Height	method1_distance	immune	L2_0	0.0744153947244151	0.1665299533525482	0.0132819238170014	2.237842773921496	0.1784835498916426	2.661298785590798e-11	-2.4741525374500945e-08	7.022324915054764e-09	-3.523266962691941	0.4451	1.7203	5.0943	1080092.0
Height	method1_distance	stromal	L2_0	0.0645825753012123	0.3547833701193001	0.0373018389052749	5.493484402946067	0.5775836397247962	3.6026994725013552e-12	2.3741877316038345e-07	6.352841370575664e-08	3.737206067509123	0.4461	1.7196	5.0943	1080092.0
