peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score
chr1:817081-817581	ENSG00000078808	SDF4	chr1	817081	817581	1232030	-	414699	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000131584	ACAP3	chr1	817081	817581	1309608	-	492277	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000131591	C1orf159	chr1	817081	817581	1116360	-	299029	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000160087	UBE2J2	chr1	817081	817581	1273863	-	456532	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000162571	TTLL10	chr1	817081	817581	1173879	+	356548	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000162572	SCNN1D	chr1	817081	817581	1280435	+	463104	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000169972	PUSL1	chr1	817081	817581	1308596	+	491265	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000176022	B3GALT6	chr1	817081	817581	1232236	+	414905	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000184163	C1QTNF12	chr1	817081	817581	1246721	-	429390	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000186827	TNFRSF4	chr1	817081	817581	1214152	-	396821	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000186891	TNFRSF18	chr1	817081	817581	1206591	-	389260	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000187583	PLEKHN1	chr1	817081	817581	966481	+	149150	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000187608	ISG15	chr1	817081	817581	1001137	+	183806	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000187634	SAMD11	chr1	817081	817581	923922	+	106591	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000187642	PERM1	chr1	817081	817581	982116	-	164785	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000187961	KLHL17	chr1	817081	817581	960583	+	143252	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000188157	AGRN	chr1	817081	817581	1020119	+	202788	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000188290	HES4	chr1	817081	817581	1000171	-	182840	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000188976	NOC2L	chr1	817081	817581	959308	-	141977	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000237330	RNF223	chr1	817081	817581	1074305	-	256974	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000284662	OR4F16	chr1	817081	817581	686653	-	130678	immune	method1_distance	1.0
chr1:817081-817581	ENSG00000284733	OR4F29	chr1	817081	817581	500000	-	317331	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000078808	SDF4	chr1	819790	820290	1232030	-	411990	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000131584	ACAP3	chr1	819790	820290	1309608	-	489568	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000131591	C1orf159	chr1	819790	820290	1116360	-	296320	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000160087	UBE2J2	chr1	819790	820290	1273863	-	453823	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000162571	TTLL10	chr1	819790	820290	1173879	+	353839	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000162572	SCNN1D	chr1	819790	820290	1280435	+	460395	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000169972	PUSL1	chr1	819790	820290	1308596	+	488556	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000176022	B3GALT6	chr1	819790	820290	1232236	+	412196	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000184163	C1QTNF12	chr1	819790	820290	1246721	-	426681	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000186827	TNFRSF4	chr1	819790	820290	1214152	-	394112	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000186891	TNFRSF18	chr1	819790	820290	1206591	-	386551	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000187583	PLEKHN1	chr1	819790	820290	966481	+	146441	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000187608	ISG15	chr1	819790	820290	1001137	+	181097	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000187634	SAMD11	chr1	819790	820290	923922	+	103882	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000187642	PERM1	chr1	819790	820290	982116	-	162076	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000187961	KLHL17	chr1	819790	820290	960583	+	140543	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000188157	AGRN	chr1	819790	820290	1020119	+	200079	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000188290	HES4	chr1	819790	820290	1000171	-	180131	immune	method1_distance	1.0
chr1:819790-820290	ENSG00000188976	NOC2L	chr1	819790	820290	959308	-	139268	immune	method1_distance	1.0
