peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:925433-925933	ENSG00000187634	SAMD11	chr1	925433	925933	923922	+	1761	stromal	method4_paired	0.46522972	0.46522972	0.0	0.0
chr1:940223-940723	ENSG00000162576	MXRA8	chr1	940223	940723	1361776	-	421303	stromal	method4_paired	0.45506722	0.45506722	0.0	0.0
chr1:940223-940723	ENSG00000187634	SAMD11	chr1	940223	940723	923922	+	16551	stromal	method4_paired	0.53469765	0.53469765	0.0	0.0
chr1:940725-941225	ENSG00000187634	SAMD11	chr1	940725	941225	923922	+	17053	stromal	method4_paired	0.48139516	0.48139516	0.0	0.0
chr1:941565-942065	ENSG00000187634	SAMD11	chr1	941565	942065	923922	+	17893	stromal	method4_paired	0.5888782	0.5888782	0.0	0.0
chr1:942403-942903	ENSG00000187634	SAMD11	chr1	942403	942903	923922	+	18731	stromal	method4_paired	0.4515283	0.4515283	0.0	0.0
chr1:942990-943490	ENSG00000187634	SAMD11	chr1	942990	943490	923922	+	19318	stromal	method4_paired	0.5055602	0.5055602	0.0	0.0
chr1:943961-944461	ENSG00000162576	MXRA8	chr1	943961	944461	1361776	-	417565	stromal	method4_paired	0.4810752	0.4810752	0.0	0.0
chr1:943961-944461	ENSG00000187634	SAMD11	chr1	943961	944461	923922	+	20289	stromal	method4_paired	0.48032176	0.48032176	0.0	0.0
chr1:944478-944978	ENSG00000162576	MXRA8	chr1	944478	944978	1361776	-	417048	stromal	method4_paired	0.49899957	0.49899957	0.0	0.0
chr1:944478-944978	ENSG00000187634	SAMD11	chr1	944478	944978	923922	+	20806	stromal	method4_paired	0.46556434	0.46556434	0.0	0.0
chr1:966773-967273	ENSG00000221978	CCNL2	chr1	966773	967273	1399334	-	432311	stromal	method4_paired	0.45188287	0.45188287	0.0	0.0
chr1:1019275-1019775	ENSG00000221978	CCNL2	chr1	1019275	1019775	1399334	-	379809	stromal	method4_paired	0.4693919	0.4693919	0.0	0.0
chr1:1137224-1137724	ENSG00000186891	TNFRSF18	chr1	1137224	1137724	1206591	-	69117	stromal	method4_paired	0.5004957	0.5004957	0.0	0.0
chr1:1212837-1213337	ENSG00000186827	TNFRSF4	chr1	1212837	1213337	1214152	-	1065	stromal	method4_paired	0.5826031	0.5826031	0.0	0.0
chr1:1307724-1308224	ENSG00000221978	CCNL2	chr1	1307724	1308224	1399334	-	91360	stromal	method4_paired	0.4567227	0.4567227	0.0	0.0
chr1:1308268-1308768	ENSG00000221978	CCNL2	chr1	1308268	1308768	1399334	-	90816	stromal	method4_paired	0.4935854	0.4935854	0.0	0.0
chr1:1358362-1358862	ENSG00000162576	MXRA8	chr1	1358362	1358862	1361776	-	3164	stromal	method4_paired	0.5112237	0.5112237	0.0	0.0
chr1:1360476-1360976	ENSG00000162576	MXRA8	chr1	1360476	1360976	1361776	-	1050	stromal	method4_paired	0.5258849	0.5258849	0.0	0.0
chr1:1399252-1399752	ENSG00000078369	GNB1	chr1	1399252	1399752	1892291	-	492789	stromal	method4_paired	0.49717402	0.49717402	0.0	0.0
chr1:1399252-1399752	ENSG00000221978	CCNL2	chr1	1399252	1399752	1399334	-	168	stromal	method4_paired	0.5076283	0.5076283	0.0	0.0
chr1:1407098-1407598	ENSG00000078369	GNB1	chr1	1407098	1407598	1892291	-	484943	stromal	method4_paired	0.4741047	0.4741047	0.0	0.0
chr1:1433122-1433622	ENSG00000179403	VWA1	chr1	1433122	1433622	1434860	+	1488	stromal	method4_paired	0.52951133	0.52951133	0.0	0.0
chr1:1511799-1512299	ENSG00000078369	GNB1	chr1	1511799	1512299	1892291	-	380242	stromal	method4_paired	0.4716815	0.4716815	0.0	0.0
chr1:1574658-1575158	ENSG00000078369	GNB1	chr1	1574658	1575158	1892291	-	317383	stromal	method4_paired	0.49698302	0.49698302	0.0	0.0
chr1:1615160-1615660	ENSG00000078369	GNB1	chr1	1615160	1615660	1892291	-	276881	stromal	method4_paired	0.4749329	0.4749329	0.0	0.0
chr1:1615160-1615660	ENSG00000221978	CCNL2	chr1	1615160	1615660	1399334	-	216076	stromal	method4_paired	0.47976482	0.47976482	0.0	0.0
chr1:1615978-1616478	ENSG00000078369	GNB1	chr1	1615978	1616478	1892291	-	276063	stromal	method4_paired	0.46958086	0.46958086	0.0	0.0
chr1:1615978-1616478	ENSG00000221978	CCNL2	chr1	1615978	1616478	1399334	-	216894	stromal	method4_paired	0.45197266	0.45197266	0.0	0.0
chr1:1629706-1630206	ENSG00000078369	GNB1	chr1	1629706	1630206	1892291	-	262335	stromal	method4_paired	0.45956647	0.45956647	0.0	0.0
chr1:1630909-1631409	ENSG00000162576	MXRA8	chr1	1630909	1631409	1361776	-	269383	stromal	method4_paired	0.4928161	0.4928161	0.0	0.0
chr1:1631422-1631922	ENSG00000162576	MXRA8	chr1	1631422	1631922	1361776	-	269896	stromal	method4_paired	0.47322252	0.47322252	0.0	0.0
chr1:1677743-1678243	ENSG00000067606	PRKCZ	chr1	1677743	1678243	2050410	+	372417	stromal	method4_paired	0.46353206	0.46353206	0.0	0.0
chr1:1677743-1678243	ENSG00000078369	GNB1	chr1	1677743	1678243	1892291	-	214298	stromal	method4_paired	0.4510374	0.4510374	0.0	0.0
chr1:1758769-1759269	ENSG00000067606	PRKCZ	chr1	1758769	1759269	2050410	+	291391	stromal	method4_paired	0.5283055	0.5283055	0.0	0.0
chr1:1758769-1759269	ENSG00000078369	GNB1	chr1	1758769	1759269	1892291	-	133272	stromal	method4_paired	0.4732918	0.4732918	0.0	0.0
chr1:1778220-1778720	ENSG00000078369	GNB1	chr1	1778220	1778720	1892291	-	113821	stromal	method4_paired	0.5507167	0.5507167	0.0	0.0
chr1:1778220-1778720	ENSG00000221978	CCNL2	chr1	1778220	1778720	1399334	-	379136	stromal	method4_paired	0.45416167	0.45416167	0.0	0.0
chr1:1778767-1779267	ENSG00000067606	PRKCZ	chr1	1778767	1779267	2050410	+	271393	stromal	method4_paired	0.4978476	0.4978476	0.0	0.0
chr1:1778767-1779267	ENSG00000078369	GNB1	chr1	1778767	1779267	1892291	-	113274	stromal	method4_paired	0.5743471	0.5743471	0.0	0.0
chr1:1780324-1780824	ENSG00000078369	GNB1	chr1	1780324	1780824	1892291	-	111717	stromal	method4_paired	0.48986197	0.48986197	0.0	0.0
chr1:1890230-1890730	ENSG00000078369	GNB1	chr1	1890230	1890730	1892291	-	1811	stromal	method4_paired	0.51579803	0.51579803	0.0	0.0
chr1:1890883-1891383	ENSG00000078369	GNB1	chr1	1890883	1891383	1892291	-	1158	stromal	method4_paired	0.4846084	0.4846084	0.0	0.0
chr1:1908881-1909381	ENSG00000078369	GNB1	chr1	1908881	1909381	1892291	-	16840	stromal	method4_paired	0.46805653	0.46805653	0.0	0.0
chr1:1919225-1919725	ENSG00000078369	GNB1	chr1	1919225	1919725	1892291	-	27184	stromal	method4_paired	0.5381583	0.5381583	0.0	0.0
chr1:1919739-1920239	ENSG00000078369	GNB1	chr1	1919739	1920239	1892291	-	27698	stromal	method4_paired	0.47233418	0.47233418	0.0	0.0
chr1:2046424-2046924	ENSG00000067606	PRKCZ	chr1	2046424	2046924	2050410	+	3736	stromal	method4_paired	0.4786136	0.4786136	0.0	0.0
chr1:2049454-2049954	ENSG00000067606	PRKCZ	chr1	2049454	2049954	2050410	+	706	stromal	method4_paired	0.47796902	0.47796902	0.0	0.0
chr1:2050116-2050616	ENSG00000067606	PRKCZ	chr1	2050116	2050616	2050410	+	44	stromal	method4_paired	0.64247936	0.64247936	0.0	0.0
chr1:2050116-2050616	ENSG00000078369	GNB1	chr1	2050116	2050616	1892291	-	158075	stromal	method4_paired	0.49234825	0.49234825	0.0	0.0
chr1:2148677-2149177	ENSG00000078369	GNB1	chr1	2148677	2149177	1892291	-	256636	stromal	method4_paired	0.45446488	0.45446488	0.0	0.0
chr1:2300789-2301289	ENSG00000078369	GNB1	chr1	2300789	2301289	1892291	-	408748	stromal	method4_paired	0.5446786	0.5446786	0.0	0.0
chr1:2391485-2391985	ENSG00000078369	GNB1	chr1	2391485	2391985	1892291	-	499444	stromal	method4_paired	0.49237263	0.49237263	0.0	0.0
chr1:2545397-2545897	ENSG00000067606	PRKCZ	chr1	2545397	2545897	2050410	+	495237	stromal	method4_paired	0.5245578	0.5245578	0.0	0.0
chr1:2546058-2546558	ENSG00000067606	PRKCZ	chr1	2546058	2546558	2050410	+	495898	stromal	method4_paired	0.6124657	0.6124657	0.0	0.0
chr1:2546058-2546558	ENSG00000157873	TNFRSF14	chr1	2546058	2546558	2555638	+	9330	stromal	method4_paired	0.49832836	0.49832836	0.0	0.0
chr1:2546058-2546558	ENSG00000157916	RER1	chr1	2546058	2546558	2391774	+	154534	stromal	method4_paired	0.47527516	0.47527516	0.0	0.0
chr1:2546802-2547302	ENSG00000067606	PRKCZ	chr1	2546802	2547302	2050410	+	496642	stromal	method4_paired	0.571409	0.571409	0.0	0.0
chr1:2546802-2547302	ENSG00000157873	TNFRSF14	chr1	2546802	2547302	2555638	+	8586	stromal	method4_paired	0.46584722	0.46584722	0.0	0.0
chr1:2546802-2547302	ENSG00000157916	RER1	chr1	2546802	2547302	2391774	+	155278	stromal	method4_paired	0.4743916	0.4743916	0.0	0.0
chr1:2547393-2547893	ENSG00000067606	PRKCZ	chr1	2547393	2547893	2050410	+	497233	stromal	method4_paired	0.48349446	0.48349446	0.0	0.0
chr1:2548640-2549140	ENSG00000067606	PRKCZ	chr1	2548640	2549140	2050410	+	498480	stromal	method4_paired	0.46623814	0.46623814	0.0	0.0
chr1:3275563-3276063	ENSG00000142611	PRDM16	chr1	3275563	3276063	3069167	+	206646	stromal	method4_paired	0.48336798	0.48336798	0.0	0.0
chr1:3423347-3423847	ENSG00000142611	PRDM16	chr1	3423347	3423847	3069167	+	354430	stromal	method4_paired	0.55711085	0.55711085	0.0	0.0
chr1:3503979-3504479	ENSG00000162591	MEGF6	chr1	3503979	3504479	3611507	-	107278	stromal	method4_paired	0.4945842	0.4945842	0.0	0.0
chr1:3531225-3531725	ENSG00000162591	MEGF6	chr1	3531225	3531725	3611507	-	80032	stromal	method4_paired	0.47236264	0.47236264	0.0	0.0
chr1:3540112-3540612	ENSG00000162591	MEGF6	chr1	3540112	3540612	3611507	-	71145	stromal	method4_paired	0.46532142	0.46532142	0.0	0.0
chr1:3611445-3611945	ENSG00000162591	MEGF6	chr1	3611445	3611945	3611507	-	188	stromal	method4_paired	0.52511466	0.52511466	0.0	0.0
chr1:3900079-3900579	ENSG00000116198	CEP104	chr1	3900079	3900579	3857395	-	42934	stromal	method4_paired	0.4504332	0.4504332	0.0	0.0
chr1:6025960-6026460	ENSG00000069424	KCNAB2	chr1	6025960	6026460	5990926	+	35284	stromal	method4_paired	0.49766454	0.49766454	0.0	0.0
chr1:6359517-6360017	ENSG00000116251	RPL22	chr1	6359517	6360017	6209388	-	150379	stromal	method4_paired	0.5005712	0.5005712	0.0	0.0
chr1:6392980-6393480	ENSG00000171735	CAMTA1	chr1	6392980	6393480	6785453	+	392223	stromal	method4_paired	0.45228705	0.45228705	0.0	0.0
chr1:6579659-6580159	ENSG00000171735	CAMTA1	chr1	6579659	6580159	6785453	+	205544	stromal	method4_paired	0.45190102	0.45190102	0.0	0.0
chr1:6602712-6603212	ENSG00000171735	CAMTA1	chr1	6602712	6603212	6785453	+	182491	stromal	method4_paired	0.46595836	0.46595836	0.0	0.0
