peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	rE2G_probability	rE2G_binary
chr1:817081-817581	ENSG00000187634	SAMD11	chr1	817081	817581	923922	+	106591	immune	method5_re2g	0.9852234281766056	0.9852234281766056	1
chr1:817081-817581	ENSG00000187961	KLHL17	chr1	817081	817581	960583	+	143252	immune	method5_re2g	0.24175241148834997	0.24175241148834997	1
chr1:817081-817581	ENSG00000188976	NOC2L	chr1	817081	817581	959308	-	141977	immune	method5_re2g	0.9870261824330826	0.9870261824330826	1
chr1:817081-817581	ENSG00000284662	OR4F16	chr1	817081	817581	686653	-	130678	immune	method5_re2g	0.9380842791600484	0.9380842791600484	1
chr1:817081-817581	ENSG00000284733	OR4F29	chr1	817081	817581	451677	-	365654	immune	method5_re2g	0.9546224809754438	0.9546224809754438	1
chr1:819790-820290	ENSG00000187634	SAMD11	chr1	819790	820290	923922	+	103882	immune	method5_re2g	0.9829659852187084	0.9829659852187084	1
chr1:819790-820290	ENSG00000187961	KLHL17	chr1	819790	820290	960583	+	140543	immune	method5_re2g	0.2297072698150219	0.2297072698150219	1
chr1:819790-820290	ENSG00000188976	NOC2L	chr1	819790	820290	959308	-	139268	immune	method5_re2g	0.9861163128132533	0.9861163128132533	1
chr1:819790-820290	ENSG00000284662	OR4F16	chr1	819790	820290	686653	-	133387	immune	method5_re2g	0.9986304850682717	0.9986304850682717	1
chr1:819790-820290	ENSG00000284733	OR4F29	chr1	819790	820290	451677	-	368363	immune	method5_re2g	0.9983887720004211	0.9983887720004211	1
chr1:821222-821722	ENSG00000187634	SAMD11	chr1	821222	821722	923922	+	102450	immune	method5_re2g	0.9828431168354267	0.9828431168354267	1
chr1:821222-821722	ENSG00000187961	KLHL17	chr1	821222	821722	960583	+	139111	immune	method5_re2g	0.2301648896713728	0.2301648896713728	1
chr1:821222-821722	ENSG00000188976	NOC2L	chr1	821222	821722	959308	-	137836	immune	method5_re2g	0.9861285524150368	0.9861285524150368	1
chr1:821222-821722	ENSG00000284662	OR4F16	chr1	821222	821722	686653	-	134819	immune	method5_re2g	0.9993357615485914	0.9993357615485914	1
chr1:821222-821722	ENSG00000284733	OR4F29	chr1	821222	821722	451677	-	369795	immune	method5_re2g	0.9993254509934277	0.9993254509934277	1
chr1:821833-822333	ENSG00000187634	SAMD11	chr1	821833	822333	923922	+	101839	immune	method5_re2g	0.9820111618116317	0.9820111618116317	1
chr1:821833-822333	ENSG00000187961	KLHL17	chr1	821833	822333	960583	+	138500	immune	method5_re2g	0.22668017501077878	0.22668017501077878	1
chr1:821833-822333	ENSG00000188976	NOC2L	chr1	821833	822333	959308	-	137225	immune	method5_re2g	0.9858288766373745	0.9858288766373745	1
chr1:821833-822333	ENSG00000284662	OR4F16	chr1	821833	822333	686653	-	135430	immune	method5_re2g	0.9995400692313481	0.9995400692313481	1
chr1:821833-822333	ENSG00000284733	OR4F29	chr1	821833	822333	451677	-	370406	immune	method5_re2g	0.9995316599844469	0.9995316599844469	1
chr1:822620-823120	ENSG00000187634	SAMD11	chr1	822620	823120	923922	+	101052	immune	method5_re2g	0.9817507835667912	0.9817507835667912	1
chr1:822620-823120	ENSG00000187961	KLHL17	chr1	822620	823120	960583	+	137713	immune	method5_re2g	0.23057826195657374	0.23057826195657374	1
chr1:822620-823120	ENSG00000188976	NOC2L	chr1	822620	823120	959308	-	136438	immune	method5_re2g	0.9861066297625988	0.9861066297625988	1
chr1:822620-823120	ENSG00000284662	OR4F16	chr1	822620	823120	686653	-	136217	immune	method5_re2g	0.9996459926447281	0.9996459926447281	1
chr1:822620-823120	ENSG00000284733	OR4F29	chr1	822620	823120	451677	-	371193	immune	method5_re2g	0.9996151832434851	0.9996151832434851	1
chr1:827273-827773	ENSG00000187583	PLEKHN1	chr1	827273	827773	966481	+	138958	immune	method5_re2g	0.23367545577620788	0.23367545577620788	1
chr1:827273-827773	ENSG00000187634	SAMD11	chr1	827273	827773	923922	+	96399	immune	method5_re2g	0.9939622685064818	0.9939622685064818	1
chr1:827273-827773	ENSG00000187642	PERM1	chr1	827273	827773	982116	-	154593	immune	method5_re2g	0.1963407358765123	0.1963407358765123	1
chr1:827273-827773	ENSG00000187961	KLHL17	chr1	827273	827773	960583	+	133060	immune	method5_re2g	0.3747847021045969	0.3747847021045969	1
chr1:827273-827773	ENSG00000188976	NOC2L	chr1	827273	827773	959308	-	131785	immune	method5_re2g	0.9930097303398331	0.9930097303398331	1
chr1:827273-827773	ENSG00000284662	OR4F16	chr1	827273	827773	686653	-	140870	immune	method5_re2g	0.9999700552685753	0.9999700552685753	1
chr1:827273-827773	ENSG00000284733	OR4F29	chr1	827273	827773	451677	-	375846	immune	method5_re2g	0.9999913280273812	0.9999913280273812	1
chr1:869650-870150	ENSG00000187583	PLEKHN1	chr1	869650	870150	966481	+	96581	immune	method5_re2g	0.26282291057963875	0.26282291057963875	1
chr1:869650-870150	ENSG00000187634	SAMD11	chr1	869650	870150	923922	+	54022	immune	method5_re2g	0.9958800062474508	0.9958800062474508	1
chr1:869650-870150	ENSG00000187642	PERM1	chr1	869650	870150	982116	-	112216	immune	method5_re2g	0.21132411848414281	0.21132411848414281	1
