peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:925433-925933	ACAP3	ACAP3	chr1	925433	925933	1309608	-	383925	stromal	method4_crosscohort	-0.47992486	-0.47992486	0.0	0.0
chr1:940223-940723	ACAP3	ACAP3	chr1	940223	940723	1309608	-	369135	stromal	method4_crosscohort	-0.5260605	-0.5260605	0.0	0.0
chr1:941565-942065	ACAP3	ACAP3	chr1	941565	942065	1309608	-	367793	stromal	method4_crosscohort	-0.5576764	-0.5576764	0.0	0.0
chr1:941565-942065	SAMD11	SAMD11	chr1	941565	942065	923922	+	17893	stromal	method4_crosscohort	0.49275658	0.49275658	0.0	0.0
chr1:942403-942903	ACAP3	ACAP3	chr1	942403	942903	1309608	-	366955	stromal	method4_crosscohort	-0.49298948	-0.49298948	0.0	0.0
chr1:942403-942903	NOC2L	NOC2L	chr1	942403	942903	959308	-	16655	stromal	method4_crosscohort	0.4692925	0.4692925	0.0	0.0
chr1:942403-942903	SAMD11	SAMD11	chr1	942403	942903	923922	+	18731	stromal	method4_crosscohort	0.4617411	0.4617411	0.0	0.0
chr1:942990-943490	ACAP3	ACAP3	chr1	942990	943490	1309608	-	366368	stromal	method4_crosscohort	-0.5383538	-0.5383538	0.0	0.0
chr1:942990-943490	SAMD11	SAMD11	chr1	942990	943490	923922	+	19318	stromal	method4_crosscohort	0.4628576	0.4628576	0.0	0.0
chr1:943961-944461	ACAP3	ACAP3	chr1	943961	944461	1309608	-	365397	stromal	method4_crosscohort	-0.5944867	-0.5944867	0.0	0.0
chr1:943961-944461	ANKRD65	ANKRD65	chr1	943961	944461	1421768	-	477557	stromal	method4_crosscohort	0.4674422	0.4674422	0.0	0.0
chr1:943961-944461	NOC2L	NOC2L	chr1	943961	944461	959308	-	15097	stromal	method4_crosscohort	0.5147761	0.5147761	0.0	0.0
chr1:943961-944461	SAMD11	SAMD11	chr1	943961	944461	923922	+	20289	stromal	method4_crosscohort	0.482692	0.482692	0.0	0.0
chr1:944478-944978	ACAP3	ACAP3	chr1	944478	944978	1309608	-	364880	stromal	method4_crosscohort	-0.6148745	-0.6148745	0.0	0.0
chr1:944478-944978	ANKRD65	ANKRD65	chr1	944478	944978	1421768	-	477040	stromal	method4_crosscohort	0.46110126	0.46110126	0.0	0.0
chr1:944478-944978	NOC2L	NOC2L	chr1	944478	944978	959308	-	14580	stromal	method4_crosscohort	0.54246867	0.54246867	0.0	0.0
chr1:944478-944978	SAMD11	SAMD11	chr1	944478	944978	923922	+	20806	stromal	method4_crosscohort	0.5089604	0.5089604	0.0	0.0
chr1:1124374-1124874	C1QTNF12	C1QTNF12	chr1	1124374	1124874	1246721	-	122097	stromal	method4_crosscohort	0.4715519	0.4715519	0.0	0.0
chr1:1125121-1125621	C1QTNF12	C1QTNF12	chr1	1125121	1125621	1246721	-	121350	stromal	method4_crosscohort	0.49213663	0.49213663	0.0	0.0
chr1:1182831-1183331	CCNL2	CCNL2	chr1	1182831	1183331	1399334	-	216253	stromal	method4_crosscohort	0.514949	0.514949	0.0	0.0
chr1:1182831-1183331	INTS11	INTS11	chr1	1182831	1183331	1324686	-	141605	stromal	method4_crosscohort	0.50070846	0.50070846	0.0	0.0
chr1:1207935-1208435	ACAP3	ACAP3	chr1	1207935	1208435	1309608	-	101423	stromal	method4_crosscohort	-0.46226642	-0.46226642	0.0	0.0
chr1:1212837-1213337	AGRN	AGRN	chr1	1212837	1213337	1020119	+	192968	stromal	method4_crosscohort	0.47299632	0.47299632	0.0	0.0
chr1:1212837-1213337	ATAD3B	ATAD3B	chr1	1212837	1213337	1471764	+	258677	stromal	method4_crosscohort	-0.5100778	-0.5100778	0.0	0.0
