peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:817083-817583	ENSG00000131584	ACAP3	chr1	817083	817583	1309608	-	492275	stromal	method2_cicero	0.27920541167259216	1.946067927938996e-37	5.8190285053142684e-36
chr1:817083-817583	ENSG00000169972	PUSL1	chr1	817083	817583	1308596	+	491263	stromal	method2_cicero	0.27920541167259216	1.946067927938996e-37	5.8190285053142684e-36
chr1:817083-817583	ENSG00000187634	SAMD11	chr1	817083	817583	923922	+	106589	stromal	method2_cicero	0.27650967240333557	9.945897234618611e-37	2.870108358720554e-35
chr1:817794-818294	ENSG00000186891	TNFRSF18	chr1	817794	818294	1206591	-	388547	stromal	method2_cicero	0.2623846232891083	3.813878196931465e-33	9.114547509658677e-32
chr1:817794-818294	ENSG00000187634	SAMD11	chr1	817794	818294	923922	+	105878	stromal	method2_cicero	0.34483686089515686	0.0	0.0
chr1:821615-822115	ENSG00000186891	TNFRSF18	chr1	821615	822115	1206591	-	384726	stromal	method2_cicero	0.2604062557220459	1.1647812626508778e-32	2.7106474201006952e-31
chr1:827310-827810	ENSG00000078808	SDF4	chr1	827310	827810	1232030	-	404470	stromal	method2_cicero	0.4287950396537781	0.0	0.0
chr1:827310-827810	ENSG00000127054	INTS11	chr1	827310	827810	1324686	-	497126	stromal	method2_cicero	0.4166601002216339	0.0	0.0
chr1:827310-827810	ENSG00000131584	ACAP3	chr1	827310	827810	1309608	-	482048	stromal	method2_cicero	0.4735451638698578	0.0	0.0
chr1:827310-827810	ENSG00000131591	C1orf159	chr1	827310	827810	1116360	-	288800	stromal	method2_cicero	0.4424472451210022	0.0	0.0
chr1:827310-827810	ENSG00000160087	UBE2J2	chr1	827310	827810	1273863	-	446303	stromal	method2_cicero	0.406979501247406	0.0	0.0
chr1:827310-827810	ENSG00000169972	PUSL1	chr1	827310	827810	1308596	+	481036	stromal	method2_cicero	0.4735451638698578	0.0	0.0
chr1:827310-827810	ENSG00000176022	B3GALT6	chr1	827310	827810	1232236	+	404676	stromal	method2_cicero	0.4287950396537781	0.0	0.0
chr1:827310-827810	ENSG00000186827	TNFRSF4	chr1	827310	827810	1214152	-	386592	stromal	method2_cicero	0.2882385849952698	7.192094303223907e-40	2.4208383854166956e-38
chr1:827310-827810	ENSG00000186891	TNFRSF18	chr1	827310	827810	1206591	-	379031	stromal	method2_cicero	0.27572259306907654	1.5959131268108923e-36	4.557319851656635e-35
chr1:827310-827810	ENSG00000187583	PLEKHN1	chr1	827310	827810	966481	+	138921	stromal	method2_cicero	0.27817681431770325	3.634339537915541e-37	1.0721415355023822e-35
chr1:827310-827810	ENSG00000187608	ISG15	chr1	827310	827810	1001137	+	173577	stromal	method2_cicero	0.2898642420768738	2.5675991761823623e-40	8.827413814986362e-39
chr1:827310-827810	ENSG00000187961	KLHL17	chr1	827310	827810	960583	+	133023	stromal	method2_cicero	0.3859948217868805	0.0	0.0
chr1:827310-827810	ENSG00000188157	AGRN	chr1	827310	827810	1020119	+	192559	stromal	method2_cicero	0.462604284286499	0.0	0.0
chr1:827310-827810	ENSG00000188290	HES4	chr1	827310	827810	1000171	-	172611	stromal	method2_cicero	0.2898642420768738	2.5675991761823623e-40	8.827413814986362e-39
chr1:827310-827810	ENSG00000188976	NOC2L	chr1	827310	827810	959308	-	131748	stromal	method2_cicero	0.3859948217868805	0.0	0.0
chr1:827310-827810	ENSG00000224051	CPTP	chr1	827310	827810	1324755	+	497195	stromal	method2_cicero	0.4166601002216339	0.0	0.0
chr1:830672-831172	ENSG00000186827	TNFRSF4	chr1	830672	831172	1214152	-	383230	stromal	method2_cicero	0.25472086668014526	2.732963945252186e-31	5.887804819652906e-30
chr1:869685-870185	ENSG00000078808	SDF4	chr1	869685	870185	1232030	-	362095	stromal	method2_cicero	0.3294088542461395	0.0	0.0
chr1:869685-870185	ENSG00000107404	DVL1	chr1	869685	870185	1349417	-	479482	stromal	method2_cicero	0.3085104525089264	1.401298464324817e-45	6.025583396596713e-44
chr1:869685-870185	ENSG00000127054	INTS11	chr1	869685	870185	1324686	-	454751	stromal	method2_cicero	0.3739566206932068	0.0	0.0
chr1:869685-870185	ENSG00000131584	ACAP3	chr1	869685	870185	1309608	-	439673	stromal	method2_cicero	0.31913304328918457	0.0	0.0
chr1:869685-870185	ENSG00000131591	C1orf159	chr1	869685	870185	1116360	-	246425	stromal	method2_cicero	0.34562522172927856	0.0	0.0
chr1:869685-870185	ENSG00000160087	UBE2J2	chr1	869685	870185	1273863	-	403928	stromal	method2_cicero	0.36726292967796326	0.0	0.0
chr1:869685-870185	ENSG00000169972	PUSL1	chr1	869685	870185	1308596	+	438661	stromal	method2_cicero	0.31913304328918457	0.0	0.0
chr1:869685-870185	ENSG00000176022	B3GALT6	chr1	869685	870185	1232236	+	362301	stromal	method2_cicero	0.3294088542461395	0.0	0.0
chr1:869685-870185	ENSG00000187608	ISG15	chr1	869685	870185	1001137	+	131202	stromal	method2_cicero	0.3511342704296112	0.0	0.0
chr1:869685-870185	ENSG00000188157	AGRN	chr1	869685	870185	1020119	+	150184	stromal	method2_cicero	0.3221239149570465	0.0	0.0
chr1:869685-870185	ENSG00000188290	HES4	chr1	869685	870185	1000171	-	130236	stromal	method2_cicero	0.3511342704296112	0.0	0.0
chr1:869685-870185	ENSG00000224051	CPTP	chr1	869685	870185	1324755	+	454820	stromal	method2_cicero	0.3739566206932068	0.0	0.0
chr1:898700-899200	ENSG00000127054	INTS11	chr1	898700	899200	1324686	-	425736	stromal	method2_cicero	0.2592063546180725	2.2819702855200137e-32	5.225395415252674e-31
chr1:898700-899200	ENSG00000162571	TTLL10	chr1	898700	899200	1173879	+	274929	stromal	method2_cicero	0.30090615153312683	1.961817850054744e-43	7.785614267788684e-42
chr1:898700-899200	ENSG00000186827	TNFRSF4	chr1	898700	899200	1214152	-	315202	stromal	method2_cicero	0.4295768439769745	0.0	0.0
chr1:898700-899200	ENSG00000224051	CPTP	chr1	898700	899200	1324755	+	425805	stromal	method2_cicero	0.2592063546180725	2.2819702855200137e-32	5.225395415252674e-31
chr1:903710-904210	ENSG00000187634	SAMD11	chr1	903710	904210	923922	+	19962	stromal	method2_cicero	0.26646754145622253	3.6940532160076855e-34	9.323202018096655e-33
chr1:904529-905029	ENSG00000078808	SDF4	chr1	904529	905029	1232030	-	327251	stromal	method2_cicero	0.38900306820869446	0.0	0.0
chr1:904529-905029	ENSG00000107404	DVL1	chr1	904529	905029	1349417	-	444638	stromal	method2_cicero	0.40299248695373535	0.0	0.0
chr1:904529-905029	ENSG00000127054	INTS11	chr1	904529	905029	1324686	-	419907	stromal	method2_cicero	0.3926332890987396	0.0	0.0
chr1:904529-905029	ENSG00000131584	ACAP3	chr1	904529	905029	1309608	-	404829	stromal	method2_cicero	0.4457751214504242	0.0	0.0
chr1:904529-905029	ENSG00000131591	C1orf159	chr1	904529	905029	1116360	-	211581	stromal	method2_cicero	0.42566221952438354	0.0	0.0
chr1:904529-905029	ENSG00000160087	UBE2J2	chr1	904529	905029	1273863	-	369084	stromal	method2_cicero	0.3691958487033844	0.0	0.0
chr1:904529-905029	ENSG00000162576	MXRA8	chr1	904529	905029	1361776	-	456997	stromal	method2_cicero	0.3107701539993286	0.0	0.0
chr1:904529-905029	ENSG00000169972	PUSL1	chr1	904529	905029	1308596	+	403817	stromal	method2_cicero	0.4457751214504242	0.0	0.0
chr1:904529-905029	ENSG00000175756	AURKAIP1	chr1	904529	905029	1375206	-	470427	stromal	method2_cicero	0.4080938398838043	0.0	0.0
chr1:904529-905029	ENSG00000176022	B3GALT6	chr1	904529	905029	1232236	+	327457	stromal	method2_cicero	0.38900306820869446	0.0	0.0
chr1:904529-905029	ENSG00000186891	TNFRSF18	chr1	904529	905029	1206591	-	301812	stromal	method2_cicero	0.38041219115257263	0.0	0.0
chr1:904529-905029	ENSG00000187583	PLEKHN1	chr1	904529	905029	966481	+	61702	stromal	method2_cicero	0.2879202663898468	8.792223006651773e-40	2.9471209668065456e-38
chr1:904529-905029	ENSG00000187608	ISG15	chr1	904529	905029	1001137	+	96358	stromal	method2_cicero	0.3860665261745453	0.0	0.0
chr1:904529-905029	ENSG00000187634	SAMD11	chr1	904529	905029	923922	+	19143	stromal	method2_cicero	0.3597679138183594	0.0	0.0
chr1:904529-905029	ENSG00000187642	PERM1	chr1	904529	905029	982116	-	77337	stromal	method2_cicero	0.2510993778705597	1.958063257961314e-30	4.0168157885112385e-29
chr1:904529-905029	ENSG00000187961	KLHL17	chr1	904529	905029	960583	+	55804	stromal	method2_cicero	0.33331578969955444	0.0	0.0
chr1:904529-905029	ENSG00000188157	AGRN	chr1	904529	905029	1020119	+	115340	stromal	method2_cicero	0.42898058891296387	0.0	0.0
chr1:904529-905029	ENSG00000188290	HES4	chr1	904529	905029	1000171	-	95392	stromal	method2_cicero	0.3860665261745453	0.0	0.0
chr1:904529-905029	ENSG00000188976	NOC2L	chr1	904529	905029	959308	-	54529	stromal	method2_cicero	0.33331578969955444	0.0	0.0
chr1:904529-905029	ENSG00000221978	CCNL2	chr1	904529	905029	1399334	-	494555	stromal	method2_cicero	0.4113048017024994	0.0	0.0
chr1:904529-905029	ENSG00000224051	CPTP	chr1	904529	905029	1324755	+	419976	stromal	method2_cicero	0.3926332890987396	0.0	0.0
chr1:905182-905682	ENSG00000107404	DVL1	chr1	905182	905682	1349417	-	443985	stromal	method2_cicero	0.3268736004829407	0.0	0.0
chr1:905182-905682	ENSG00000131584	ACAP3	chr1	905182	905682	1309608	-	404176	stromal	method2_cicero	0.27612605690956116	1.2526306072426937e-36	3.5961790194026405e-35
chr1:905182-905682	ENSG00000162576	MXRA8	chr1	905182	905682	1361776	-	456344	stromal	method2_cicero	0.42181599140167236	0.0	0.0
chr1:905182-905682	ENSG00000169972	PUSL1	chr1	905182	905682	1308596	+	403164	stromal	method2_cicero	0.27612605690956116	1.2526306072426937e-36	3.5961790194026405e-35
chr1:905182-905682	ENSG00000186891	TNFRSF18	chr1	905182	905682	1206591	-	301159	stromal	method2_cicero	0.32956892251968384	0.0	0.0
chr1:905182-905682	ENSG00000187583	PLEKHN1	chr1	905182	905682	966481	+	61049	stromal	method2_cicero	0.3211601674556732	0.0	0.0
chr1:905182-905682	ENSG00000187634	SAMD11	chr1	905182	905682	923922	+	18490	stromal	method2_cicero	0.4437304735183716	0.0	0.0
chr1:909786-910286	ENSG00000187608	ISG15	chr1	909786	910286	1001137	+	91101	stromal	method2_cicero	0.2542855143547058	3.468692928993997e-31	7.429539575841116e-30
chr1:909786-910286	ENSG00000188290	HES4	chr1	909786	910286	1000171	-	90135	stromal	method2_cicero	0.2542855143547058	3.468692928993997e-31	7.429539575841116e-30
chr1:911042-911542	ENSG00000187608	ISG15	chr1	911042	911542	1001137	+	89845	stromal	method2_cicero	0.25211939215660095	1.1280938106592777e-30	2.3462318051452154e-29
chr1:911042-911542	ENSG00000188290	HES4	chr1	911042	911542	1000171	-	88879	stromal	method2_cicero	0.25211939215660095	1.1280938106592777e-30	2.3462318051452154e-29
chr1:916459-916959	ENSG00000187634	SAMD11	chr1	916459	916959	923922	+	7213	stromal	method2_cicero	0.25120997428894043	1.8446530676267487e-30	3.7898660094239694e-29
chr1:917139-917639	ENSG00000187634	SAMD11	chr1	917139	917639	923922	+	6533	stromal	method2_cicero	0.27194371819496155	1.5122289995144214e-35	4.106442118626328e-34
chr1:919138-919638	ENSG00000187634	SAMD11	chr1	919138	919638	923922	+	4534	stromal	method2_cicero	0.25384679436683655	4.408591410640299e-31	9.386188102841328e-30
chr1:920397-920897	ENSG00000131584	ACAP3	chr1	920397	920897	1309608	-	388961	stromal	method2_cicero	0.27263304591178894	1.0060543448332064e-35	2.757259523509172e-34
chr1:920397-920897	ENSG00000162576	MXRA8	chr1	920397	920897	1361776	-	441129	stromal	method2_cicero	0.27263620495796204	1.0041745870212225e-35	2.7522058161555977e-34
chr1:920397-920897	ENSG00000169972	PUSL1	chr1	920397	920897	1308596	+	387949	stromal	method2_cicero	0.27263304591178894	1.0060543448332064e-35	2.757259523509172e-34
chr1:920397-920897	ENSG00000187634	SAMD11	chr1	920397	920897	923922	+	3275	stromal	method2_cicero	0.2892371714115143	3.823176613202042e-40	1.3036997078427508e-38
chr1:920397-920897	ENSG00000221978	CCNL2	chr1	920397	920897	1399334	-	478687	stromal	method2_cicero	0.25181394815444946	1.330979057475609e-30	2.756970220023097e-29
chr1:920990-921490	ENSG00000107404	DVL1	chr1	920990	921490	1349417	-	428177	stromal	method2_cicero	0.2859277129173279	3.0737663983765225e-39	1.004053779399055e-37
chr1:920990-921490	ENSG00000131584	ACAP3	chr1	920990	921490	1309608	-	388368	stromal	method2_cicero	0.3231343924999237	0.0	0.0
chr1:920990-921490	ENSG00000160087	UBE2J2	chr1	920990	921490	1273863	-	352623	stromal	method2_cicero	0.2711710035800934	2.384585139491386e-35	6.409422896299351e-34
chr1:920990-921490	ENSG00000162576	MXRA8	chr1	920990	921490	1361776	-	440536	stromal	method2_cicero	0.26908695697784424	8.084648938631853e-35	2.113733534030328e-33
chr1:920990-921490	ENSG00000169972	PUSL1	chr1	920990	921490	1308596	+	387356	stromal	method2_cicero	0.3231343924999237	0.0	0.0
chr1:920990-921490	ENSG00000187634	SAMD11	chr1	920990	921490	923922	+	2682	stromal	method2_cicero	0.3413664996623993	0.0	0.0
chr1:920990-921490	ENSG00000188157	AGRN	chr1	920990	921490	1020119	+	98879	stromal	method2_cicero	0.2583620250225067	3.6551973328932014e-32	8.274226682613187e-31
chr1:921661-922161	ENSG00000107404	DVL1	chr1	921661	922161	1349417	-	427506	stromal	method2_cicero	0.30610552430152893	5.605193857299268e-45	2.382207389352189e-43
chr1:921661-922161	ENSG00000162576	MXRA8	chr1	921661	922161	1361776	-	439865	stromal	method2_cicero	0.30459773540496826	1.6815581571897805e-44	6.992479336980837e-43
chr1:921661-922161	ENSG00000187634	SAMD11	chr1	921661	922161	923922	+	2011	stromal	method2_cicero	1.0	0.0	0.0
chr1:922392-922892	ENSG00000187634	SAMD11	chr1	922392	922892	923922	+	1280	stromal	method2_cicero	1.0	0.0	0.0
chr1:922928-923428	ENSG00000187583	PLEKHN1	chr1	922928	923428	966481	+	43303	stromal	method2_cicero	0.2558545172214508	1.4659029338299405e-31	3.2068832536760305e-30
chr1:922928-923428	ENSG00000187634	SAMD11	chr1	922928	923428	923922	+	744	stromal	method2_cicero	1.0	0.0	0.0
chr1:922928-923428	ENSG00000187642	PERM1	chr1	922928	923428	982116	-	58938	stromal	method2_cicero	0.2690907418727875	8.066874178350474e-35	2.1091983298880616e-33
chr1:923583-924083	ENSG00000078808	SDF4	chr1	923583	924083	1232030	-	308197	stromal	method2_cicero	0.32777008414268494	0.0	0.0
chr1:923583-924083	ENSG00000107404	DVL1	chr1	923583	924083	1349417	-	425584	stromal	method2_cicero	0.3312855064868927	0.0	0.0
chr1:923583-924083	ENSG00000127054	INTS11	chr1	923583	924083	1324686	-	400853	stromal	method2_cicero	0.32114869356155396	0.0	0.0
chr1:923583-924083	ENSG00000131584	ACAP3	chr1	923583	924083	1309608	-	385775	stromal	method2_cicero	0.37982141971588135	0.0	0.0
chr1:923583-924083	ENSG00000131591	C1orf159	chr1	923583	924083	1116360	-	192527	stromal	method2_cicero	0.32470425963401794	0.0	0.0
chr1:923583-924083	ENSG00000160087	UBE2J2	chr1	923583	924083	1273863	-	350030	stromal	method2_cicero	0.34973829984664917	0.0	0.0
chr1:923583-924083	ENSG00000162576	MXRA8	chr1	923583	924083	1361776	-	437943	stromal	method2_cicero	0.3748909533023834	0.0	0.0
chr1:923583-924083	ENSG00000169972	PUSL1	chr1	923583	924083	1308596	+	384763	stromal	method2_cicero	0.37982141971588135	0.0	0.0
chr1:923583-924083	ENSG00000175756	AURKAIP1	chr1	923583	924083	1375206	-	451373	stromal	method2_cicero	0.31360530853271484	0.0	0.0
chr1:923583-924083	ENSG00000176022	B3GALT6	chr1	923583	924083	1232236	+	308403	stromal	method2_cicero	0.32777008414268494	0.0	0.0
chr1:923583-924083	ENSG00000186891	TNFRSF18	chr1	923583	924083	1206591	-	282758	stromal	method2_cicero	0.3138844966888428	0.0	0.0
chr1:923583-924083	ENSG00000187583	PLEKHN1	chr1	923583	924083	966481	+	42648	stromal	method2_cicero	0.255174845457077	2.1303956668681347e-31	4.617798842233545e-30
chr1:923583-924083	ENSG00000187608	ISG15	chr1	923583	924083	1001137	+	77304	stromal	method2_cicero	0.33585411310195923	0.0	0.0
chr1:923583-924083	ENSG00000187634	SAMD11	chr1	923583	924083	923922	+	89	stromal	method2_cicero	1.0	0.0	0.0
chr1:923583-924083	ENSG00000187961	KLHL17	chr1	923583	924083	960583	+	36750	stromal	method2_cicero	0.29907527565956116	6.58610278232664e-43	2.5524651527676543e-41
chr1:923583-924083	ENSG00000188157	AGRN	chr1	923583	924083	1020119	+	96286	stromal	method2_cicero	0.3515532910823822	0.0	0.0
chr1:923583-924083	ENSG00000188290	HES4	chr1	923583	924083	1000171	-	76338	stromal	method2_cicero	0.33585411310195923	0.0	0.0
chr1:923583-924083	ENSG00000188976	NOC2L	chr1	923583	924083	959308	-	35475	stromal	method2_cicero	0.29907527565956116	6.58610278232664e-43	2.5524651527676543e-41
chr1:923583-924083	ENSG00000221978	CCNL2	chr1	923583	924083	1399334	-	475501	stromal	method2_cicero	0.3703655004501343	0.0	0.0
chr1:923583-924083	ENSG00000224051	CPTP	chr1	923583	924083	1324755	+	400922	stromal	method2_cicero	0.32114869356155396	0.0	0.0
