peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	rE2G_probability	rE2G_binary
chr1:819819-820319	ENSG00000187583	PLEKHN1	chr1	819819	820319	966481	+	146412	epithelial	method5_re2g	0.23033462819236783	0.23033462819236783	1
chr1:819819-820319	ENSG00000187634	SAMD11	chr1	819819	820319	923922	+	103853	epithelial	method5_re2g	0.9917451731957545	0.9917451731957545	1
chr1:819819-820319	ENSG00000187961	KLHL17	chr1	819819	820319	960583	+	140514	epithelial	method5_re2g	0.38556866636689807	0.38556866636689807	1
chr1:819819-820319	ENSG00000188976	NOC2L	chr1	819819	820319	959308	-	139239	epithelial	method5_re2g	0.9936047464937163	0.9936047464937163	1
chr1:819819-820319	ENSG00000284662	OR4F16	chr1	819819	820319	686653	-	133416	epithelial	method5_re2g	0.8995701082044666	0.8995701082044666	1
chr1:819819-820319	ENSG00000284733	OR4F29	chr1	819819	820319	451677	-	368392	epithelial	method5_re2g	0.8708657630710627	0.8708657630710627	1
chr1:820554-821054	ENSG00000187583	PLEKHN1	chr1	820554	821054	966481	+	145677	epithelial	method5_re2g	0.22859015183564527	0.22859015183564527	1
chr1:820554-821054	ENSG00000187634	SAMD11	chr1	820554	821054	923922	+	103118	epithelial	method5_re2g	0.9915546286869541	0.9915546286869541	1
chr1:820554-821054	ENSG00000187961	KLHL17	chr1	820554	821054	960583	+	139779	epithelial	method5_re2g	0.3830466678412609	0.3830466678412609	1
chr1:820554-821054	ENSG00000188976	NOC2L	chr1	820554	821054	959308	-	138504	epithelial	method5_re2g	0.9935343297646057	0.9935343297646057	1
chr1:820554-821054	ENSG00000284662	OR4F16	chr1	820554	821054	686653	-	134151	epithelial	method5_re2g	0.9984655155241228	0.9984655155241228	1
chr1:820554-821054	ENSG00000284733	OR4F29	chr1	820554	821054	451677	-	369127	epithelial	method5_re2g	0.9978504348681757	0.9978504348681757	1
chr1:821133-821633	ENSG00000187583	PLEKHN1	chr1	821133	821633	966481	+	145098	epithelial	method5_re2g	0.22970045452097212	0.22970045452097212	1
chr1:821133-821633	ENSG00000187634	SAMD11	chr1	821133	821633	923922	+	102539	epithelial	method5_re2g	0.9915788847328728	0.9915788847328728	1
chr1:821133-821633	ENSG00000187961	KLHL17	chr1	821133	821633	960583	+	139200	epithelial	method5_re2g	0.3844228142517537	0.3844228142517537	1
chr1:821133-821633	ENSG00000188976	NOC2L	chr1	821133	821633	959308	-	137925	epithelial	method5_re2g	0.9935698808671167	0.9935698808671167	1
chr1:821133-821633	ENSG00000284662	OR4F16	chr1	821133	821633	686653	-	134730	epithelial	method5_re2g	0.9992359292713925	0.9992359292713925	1
chr1:821133-821633	ENSG00000284733	OR4F29	chr1	821133	821633	451677	-	369706	epithelial	method5_re2g	0.9990593309562418	0.9990593309562418	1
chr1:821860-822360	ENSG00000187583	PLEKHN1	chr1	821860	822360	966481	+	144371	epithelial	method5_re2g	0.22961297958855764	0.22961297958855764	1
chr1:821860-822360	ENSG00000187634	SAMD11	chr1	821860	822360	923922	+	101812	epithelial	method5_re2g	0.9914427015700952	0.9914427015700952	1
chr1:821860-822360	ENSG00000187961	KLHL17	chr1	821860	822360	960583	+	138473	epithelial	method5_re2g	0.3840943596889097	0.3840943596889097	1
chr1:821860-822360	ENSG00000188976	NOC2L	chr1	821860	822360	959308	-	137198	epithelial	method5_re2g	0.9935584551185461	0.9935584551185461	1
chr1:821860-822360	ENSG00000284662	OR4F16	chr1	821860	822360	686653	-	135457	epithelial	method5_re2g	0.9994587732460601	0.9994587732460601	1
chr1:821860-822360	ENSG00000284733	OR4F29	chr1	821860	822360	451677	-	370433	epithelial	method5_re2g	0.9992792967927981	0.9992792967927981	1
chr1:822571-823071	ENSG00000187583	PLEKHN1	chr1	822571	823071	966481	+	143660	epithelial	method5_re2g	0.2387252998307792	0.2387252998307792	1
