peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:826595-827095	ENSG00000131584	ACAP3	chr1	826595	827095	1309608	-	482763	epithelial	method2_cicero	0.2735530734062195	5.828937053124346e-36	2.0675857380334565e-34
chr1:826595-827095	ENSG00000169972	PUSL1	chr1	826595	827095	1308596	+	481751	epithelial	method2_cicero	0.2735530734062195	5.828937053124346e-36	2.0675857380334565e-34
chr1:826595-827095	ENSG00000187583	PLEKHN1	chr1	826595	827095	966481	+	139636	epithelial	method2_cicero	0.25681158900260925	8.642839846836131e-32	2.454018430505447e-30
chr1:826595-827095	ENSG00000188157	AGRN	chr1	826595	827095	1020119	+	193274	epithelial	method2_cicero	0.274342805147171	3.642460880874606e-36	1.3055815122231158e-34
chr1:827296-827796	ENSG00000078808	SDF4	chr1	827296	827796	1232030	-	404484	epithelial	method2_cicero	0.5124261379241943	0.0	0.0
chr1:827296-827796	ENSG00000127054	INTS11	chr1	827296	827796	1324686	-	497140	epithelial	method2_cicero	0.4774475395679474	0.0	0.0
chr1:827296-827796	ENSG00000131584	ACAP3	chr1	827296	827796	1309608	-	482062	epithelial	method2_cicero	0.47217217087745667	0.0	0.0
chr1:827296-827796	ENSG00000131591	C1orf159	chr1	827296	827796	1116360	-	288814	epithelial	method2_cicero	0.49315914511680603	0.0	0.0
chr1:827296-827796	ENSG00000160087	UBE2J2	chr1	827296	827796	1273863	-	446317	epithelial	method2_cicero	0.45850953459739685	0.0	0.0
chr1:827296-827796	ENSG00000162572	SCNN1D	chr1	827296	827796	1280435	+	452889	epithelial	method2_cicero	0.3094971776008606	0.0	0.0
chr1:827296-827796	ENSG00000169972	PUSL1	chr1	827296	827796	1308596	+	481050	epithelial	method2_cicero	0.47217217087745667	0.0	0.0
chr1:827296-827796	ENSG00000176022	B3GALT6	chr1	827296	827796	1232236	+	404690	epithelial	method2_cicero	0.5124261379241943	0.0	0.0
chr1:827296-827796	ENSG00000187583	PLEKHN1	chr1	827296	827796	966481	+	138935	epithelial	method2_cicero	0.34569671750068665	0.0	0.0
chr1:827296-827796	ENSG00000187608	ISG15	chr1	827296	827796	1001137	+	173591	epithelial	method2_cicero	0.3248857259750366	0.0	0.0
chr1:827296-827796	ENSG00000187634	SAMD11	chr1	827296	827796	923922	+	96376	epithelial	method2_cicero	0.31917086243629456	0.0	0.0
chr1:827296-827796	ENSG00000187961	KLHL17	chr1	827296	827796	960583	+	133037	epithelial	method2_cicero	0.4148646295070648	0.0	0.0
chr1:827296-827796	ENSG00000188157	AGRN	chr1	827296	827796	1020119	+	192573	epithelial	method2_cicero	0.4961581826210022	0.0	0.0
chr1:827296-827796	ENSG00000188290	HES4	chr1	827296	827796	1000171	-	172625	epithelial	method2_cicero	0.3248857259750366	0.0	0.0
chr1:827296-827796	ENSG00000188976	NOC2L	chr1	827296	827796	959308	-	131762	epithelial	method2_cicero	0.4148646295070648	0.0	0.0
