peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score
chr1:920990-921490	ENSG00000187634	SAMD11	chr1	920990	921490	923922	+	2682	stromal	method3_abc	0.02629055235823562
chr1:923583-924083	ENSG00000187634	SAMD11	chr1	923583	924083	923922	+	89	stromal	method3_abc	0.07079775494558395
chr1:924573-925073	ENSG00000187634	SAMD11	chr1	924573	925073	923922	+	901	stromal	method3_abc	0.031047607604271686
chr1:925433-925933	ENSG00000187634	SAMD11	chr1	925433	925933	923922	+	1761	stromal	method3_abc	0.031395781612275304
chr1:940223-940723	ENSG00000187634	SAMD11	chr1	940223	940723	923922	+	16551	stromal	method3_abc	0.024812566302531397
chr1:940223-940723	ENSG00000188976	NOC2L	chr1	940223	940723	959308	-	18835	stromal	method3_abc	0.02062669838745362
chr1:941565-942065	ENSG00000187634	SAMD11	chr1	941565	942065	923922	+	17893	stromal	method3_abc	0.02583067321154935
chr1:941565-942065	ENSG00000187961	KLHL17	chr1	941565	942065	960583	+	18768	stromal	method3_abc	0.022782411356511163
chr1:941565-942065	ENSG00000188976	NOC2L	chr1	941565	942065	959308	-	17493	stromal	method3_abc	0.02380205289644266
chr1:959068-959568	ENSG00000187583	PLEKHN1	chr1	959068	959568	966481	+	7163	stromal	method3_abc	0.05319777837234916
chr1:959068-959568	ENSG00000187642	PERM1	chr1	959068	959568	982116	-	22798	stromal	method3_abc	0.027318689050389453
chr1:959068-959568	ENSG00000187961	KLHL17	chr1	959068	959568	960583	+	1265	stromal	method3_abc	0.09042512220804334
chr1:959068-959568	ENSG00000188976	NOC2L	chr1	959068	959568	959308	-	10	stromal	method3_abc	0.10937900615110115
chr1:960313-960813	ENSG00000187583	PLEKHN1	chr1	960313	960813	966481	+	5918	stromal	method3_abc	0.023570429990002226
chr1:960313-960813	ENSG00000187961	KLHL17	chr1	960313	960813	960583	+	20	stromal	method3_abc	0.044225351050438726
chr1:960313-960813	ENSG00000188976	NOC2L	chr1	960313	960813	959308	-	1255	stromal	method3_abc	0.036370403075643494
chr1:960833-961333	ENSG00000187961	KLHL17	chr1	960833	961333	960583	+	500	stromal	method3_abc	0.027927642473123942
chr1:960833-961333	ENSG00000188976	NOC2L	chr1	960833	961333	959308	-	1775	stromal	method3_abc	0.02319749446796044
chr1:965957-966457	ENSG00000187583	PLEKHN1	chr1	965957	966457	966481	+	274	stromal	method3_abc	0.02347558252176284
chr1:966773-967273	ENSG00000187583	PLEKHN1	chr1	966773	967273	966481	+	542	stromal	method3_abc	0.04961134048945587
chr1:966773-967273	ENSG00000187961	KLHL17	chr1	966773	967273	960583	+	6440	stromal	method3_abc	0.02520413071829553
chr1:966773-967273	ENSG00000188976	NOC2L	chr1	966773	967273	959308	-	7715	stromal	method3_abc	0.022894411371364092
chr1:975968-976468	ENSG00000187642	PERM1	chr1	975968	976468	982116	-	5898	stromal	method3_abc	0.021676597806686855
chr1:984068-984568	ENSG00000187642	PERM1	chr1	984068	984568	982116	-	2202	stromal	method3_abc	0.02337310809300778
chr1:998929-999429	ENSG00000187608	ISG15	chr1	998929	999429	1001137	+	1958	stromal	method3_abc	0.029436049281580848
chr1:998929-999429	ENSG00000188290	HES4	chr1	998929	999429	1000171	-	992	stromal	method3_abc	0.03338226202809989
chr1:999900-1000400	ENSG00000187583	PLEKHN1	chr1	999900	1000400	966481	+	33669	stromal	method3_abc	0.024978004255495744
chr1:999900-1000400	ENSG00000187608	ISG15	chr1	999900	1000400	1001137	+	987	stromal	method3_abc	0.1038125469033616
chr1:999900-1000400	ENSG00000187642	PERM1	chr1	999900	1000400	982116	-	18034	stromal	method3_abc	0.04132138616463734
chr1:999900-1000400	ENSG00000187961	KLHL17	chr1	999900	1000400	960583	+	39567	stromal	method3_abc	0.021069458039632602
chr1:999900-1000400	ENSG00000188157	AGRN	chr1	999900	1000400	1020119	+	19969	stromal	method3_abc	0.0299429659892423
chr1:999900-1000400	ENSG00000188290	HES4	chr1	999900	1000400	1000171	-	21	stromal	method3_abc	0.12047492628300213
chr1:999900-1000400	ENSG00000188976	NOC2L	chr1	999900	1000400	959308	-	40842	stromal	method3_abc	0.02047283957776567
chr1:1000604-1001104	ENSG00000187608	ISG15	chr1	1000604	1001104	1001137	+	283	stromal	method3_abc	0.08020076662607191
chr1:1000604-1001104	ENSG00000187642	PERM1	chr1	1000604	1001104	982116	-	18738	stromal	method3_abc	0.027890903845775708
chr1:1000604-1001104	ENSG00000188157	AGRN	chr1	1000604	1001104	1020119	+	19265	stromal	method3_abc	0.021269814880578938
chr1:1000604-1001104	ENSG00000188290	HES4	chr1	1000604	1001104	1000171	-	683	stromal	method3_abc	0.0749487426429357
chr1:1001159-1001659	ENSG00000187608	ISG15	chr1	1001159	1001659	1001137	+	272	stromal	method3_abc	0.023022558190173407
chr1:1001721-1002221	ENSG00000187608	ISG15	chr1	1001721	1002221	1001137	+	834	stromal	method3_abc	0.057432485308946304
chr1:1001721-1002221	ENSG00000187642	PERM1	chr1	1001721	1002221	982116	-	19855	stromal	method3_abc	0.020919569773879897
chr1:1001721-1002221	ENSG00000188290	HES4	chr1	1001721	1002221	1000171	-	1800	stromal	method3_abc	0.050052745782705806
chr1:1013180-1013680	ENSG00000187608	ISG15	chr1	1013180	1013680	1001137	+	12293	stromal	method3_abc	0.024567308399979903
chr1:1013180-1013680	ENSG00000188157	AGRN	chr1	1013180	1013680	1020119	+	6689	stromal	method3_abc	0.03451043146784088
chr1:1013180-1013680	ENSG00000188290	HES4	chr1	1013180	1013680	1000171	-	13259	stromal	method3_abc	0.023333616508582625
chr1:1019275-1019775	ENSG00000187583	PLEKHN1	chr1	1019275	1019775	966481	+	53044	stromal	method3_abc	0.02346126324503938
chr1:1019275-1019775	ENSG00000187608	ISG15	chr1	1019275	1019775	1001137	+	18388	stromal	method3_abc	0.04242820856397906
chr1:1019275-1019775	ENSG00000187642	PERM1	chr1	1019275	1019775	982116	-	37409	stromal	method3_abc	0.03249410039991935
chr1:1019275-1019775	ENSG00000187961	KLHL17	chr1	1019275	1019775	960583	+	58942	stromal	method3_abc	0.020583432225432578
chr1:1019275-1019775	ENSG00000188157	AGRN	chr1	1019275	1019775	1020119	+	594	stromal	method3_abc	0.14715399381656485
chr1:1019275-1019775	ENSG00000188290	HES4	chr1	1019275	1019775	1000171	-	19354	stromal	method3_abc	0.040787283155439065
chr1:1019275-1019775	ENSG00000188976	NOC2L	chr1	1019275	1019775	959308	-	60217	stromal	method3_abc	0.020148385207136313
chr1:1019275-1019775	ENSG00000237330	RNF223	chr1	1019275	1019775	1074305	-	54780	stromal	method3_abc	0.026547998715959944
chr1:1019849-1020349	ENSG00000188157	AGRN	chr1	1019849	1020349	1020119	+	20	stromal	method3_abc	0.059751144221204956
chr1:1020427-1020927	ENSG00000188157	AGRN	chr1	1020427	1020927	1020119	+	558	stromal	method3_abc	0.021605499902021454
