peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:921661-922161	ENSG00000187634	SAMD11	chr1	921661	922161	923922	+	2011	stromal	method2b_glasso	1.0	0.0	0.0
chr1:922392-922892	ENSG00000187634	SAMD11	chr1	922392	922892	923922	+	1280	stromal	method2b_glasso	1.0	0.0	0.0
chr1:922928-923428	ENSG00000187634	SAMD11	chr1	922928	923428	923922	+	744	stromal	method2b_glasso	1.0	0.0	0.0
chr1:923583-924083	ENSG00000187634	SAMD11	chr1	923583	924083	923922	+	89	stromal	method2b_glasso	1.0	0.0	0.0
chr1:924573-925073	ENSG00000187634	SAMD11	chr1	924573	925073	923922	+	901	stromal	method2b_glasso	1.0	0.0	0.0
chr1:925433-925933	ENSG00000187634	SAMD11	chr1	925433	925933	923922	+	1761	stromal	method2b_glasso	1.0	0.0	0.0
chr1:957152-957652	ENSG00000188976	NOC2L	chr1	957152	957652	959308	-	1906	stromal	method2b_glasso	1.0	0.0	0.0
chr1:958327-958827	ENSG00000187961	KLHL17	chr1	958327	958827	960583	+	2006	stromal	method2b_glasso	1.0	0.0	0.0
chr1:958327-958827	ENSG00000188976	NOC2L	chr1	958327	958827	959308	-	731	stromal	method2b_glasso	1.0	0.0	0.0
chr1:959068-959568	ENSG00000187961	KLHL17	chr1	959068	959568	960583	+	1265	stromal	method2b_glasso	1.0	0.0	0.0
chr1:959068-959568	ENSG00000188976	NOC2L	chr1	959068	959568	959308	-	10	stromal	method2b_glasso	1.0	0.0	0.0
chr1:959625-960125	ENSG00000187961	KLHL17	chr1	959625	960125	960583	+	708	stromal	method2b_glasso	1.0	0.0	0.0
chr1:959625-960125	ENSG00000188976	NOC2L	chr1	959625	960125	959308	-	567	stromal	method2b_glasso	1.0	0.0	0.0
chr1:960313-960813	ENSG00000187961	KLHL17	chr1	960313	960813	960583	+	20	stromal	method2b_glasso	1.0	0.0	0.0
chr1:960313-960813	ENSG00000188976	NOC2L	chr1	960313	960813	959308	-	1255	stromal	method2b_glasso	1.0	0.0	0.0
chr1:960833-961333	ENSG00000187961	KLHL17	chr1	960833	961333	960583	+	500	stromal	method2b_glasso	1.0	0.0	0.0
chr1:960833-961333	ENSG00000188976	NOC2L	chr1	960833	961333	959308	-	1775	stromal	method2b_glasso	1.0	0.0	0.0
chr1:961514-962014	ENSG00000187961	KLHL17	chr1	961514	962014	960583	+	1181	stromal	method2b_glasso	1.0	0.0	0.0
chr1:964288-964788	ENSG00000187583	PLEKHN1	chr1	964288	964788	966481	+	1943	stromal	method2b_glasso	1.0	0.0	0.0
chr1:965369-965869	ENSG00000187583	PLEKHN1	chr1	965369	965869	966481	+	862	stromal	method2b_glasso	1.0	0.0	0.0
chr1:965957-966457	ENSG00000187583	PLEKHN1	chr1	965957	966457	966481	+	274	stromal	method2b_glasso	1.0	0.0	0.0
chr1:966773-967273	ENSG00000187583	PLEKHN1	chr1	966773	967273	966481	+	542	stromal	method2b_glasso	1.0	0.0	0.0
chr1:967322-967822	ENSG00000187583	PLEKHN1	chr1	967322	967822	966481	+	1091	stromal	method2b_glasso	1.0	0.0	0.0
chr1:968135-968635	ENSG00000187583	PLEKHN1	chr1	968135	968635	966481	+	1904	stromal	method2b_glasso	1.0	0.0	0.0
chr1:979981-980481	ENSG00000187642	PERM1	chr1	979981	980481	982116	-	1885	stromal	method2b_glasso	1.0	0.0	0.0
chr1:980520-981020	ENSG00000187642	PERM1	chr1	980520	981020	982116	-	1346	stromal	method2b_glasso	1.0	0.0	0.0
chr1:981938-982438	ENSG00000187642	PERM1	chr1	981938	982438	982116	-	72	stromal	method2b_glasso	1.0	0.0	0.0
chr1:984068-984568	ENSG00000187642	PERM1	chr1	984068	984568	982116	-	2202	stromal	method2b_glasso	1.0	0.0	0.0
chr1:997835-998335	ENSG00000188290	HES4	chr1	997835	998335	1000171	-	2086	stromal	method2b_glasso	1.0	0.0	0.0
chr1:998362-998862	ENSG00000188290	HES4	chr1	998362	998862	1000171	-	1559	stromal	method2b_glasso	1.0	0.0	0.0
chr1:998929-999429	ENSG00000187608	ISG15	chr1	998929	999429	1001137	+	1958	stromal	method2b_glasso	1.0	0.0	0.0
chr1:998929-999429	ENSG00000188290	HES4	chr1	998929	999429	1000171	-	992	stromal	method2b_glasso	1.0	0.0	0.0
chr1:999900-1000400	ENSG00000187608	ISG15	chr1	999900	1000400	1001137	+	987	stromal	method2b_glasso	1.0	0.0	0.0
chr1:999900-1000400	ENSG00000188290	HES4	chr1	999900	1000400	1000171	-	21	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1000604-1001104	ENSG00000187608	ISG15	chr1	1000604	1001104	1001137	+	283	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1000604-1001104	ENSG00000188290	HES4	chr1	1000604	1001104	1000171	-	683	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1001159-1001659	ENSG00000187608	ISG15	chr1	1001159	1001659	1001137	+	272	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1001159-1001659	ENSG00000188290	HES4	chr1	1001159	1001659	1000171	-	1238	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1001721-1002221	ENSG00000187608	ISG15	chr1	1001721	1002221	1001137	+	834	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1001721-1002221	ENSG00000188290	HES4	chr1	1001721	1002221	1000171	-	1800	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1002991-1003491	ENSG00000187608	ISG15	chr1	1002991	1003491	1001137	+	2104	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1018183-1018683	ENSG00000188157	AGRN	chr1	1018183	1018683	1020119	+	1686	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1018761-1019261	ENSG00000188157	AGRN	chr1	1018761	1019261	1020119	+	1108	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1019275-1019775	ENSG00000188157	AGRN	chr1	1019275	1019775	1020119	+	594	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1019849-1020349	ENSG00000188157	AGRN	chr1	1019849	1020349	1020119	+	20	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1020427-1020927	ENSG00000188157	AGRN	chr1	1020427	1020927	1020119	+	558	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1020998-1021498	ENSG00000188157	AGRN	chr1	1020998	1021498	1020119	+	1129	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1021601-1022101	ENSG00000188157	AGRN	chr1	1021601	1022101	1020119	+	1732	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1072283-1072783	ENSG00000237330	RNF223	chr1	1072283	1072783	1074305	-	1772	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1073741-1074241	ENSG00000237330	RNF223	chr1	1073741	1074241	1074305	-	314	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1074733-1075233	ENSG00000237330	RNF223	chr1	1074733	1075233	1074305	-	678	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1075288-1075788	ENSG00000237330	RNF223	chr1	1075288	1075788	1074305	-	1233	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1114745-1115245	ENSG00000131591	C1orf159	chr1	1114745	1115245	1116360	-	1365	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1115391-1115891	ENSG00000131591	C1orf159	chr1	1115391	1115891	1116360	-	719	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1115962-1116462	ENSG00000131591	C1orf159	chr1	1115962	1116462	1116360	-	148	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1116545-1117045	ENSG00000131591	C1orf159	chr1	1116545	1117045	1116360	-	435	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1117321-1117821	ENSG00000131591	C1orf159	chr1	1117321	1117821	1116360	-	1211	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1171831-1172331	ENSG00000162571	TTLL10	chr1	1171831	1172331	1173879	+	1798	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1173618-1174118	ENSG00000162571	TTLL10	chr1	1173618	1174118	1173879	+	11	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1174271-1174771	ENSG00000162571	TTLL10	chr1	1174271	1174771	1173879	+	642	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1204982-1205482	ENSG00000186891	TNFRSF18	chr1	1204982	1205482	1206591	-	1359	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1205732-1206232	ENSG00000186891	TNFRSF18	chr1	1205732	1206232	1206591	-	609	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1206355-1206855	ENSG00000186891	TNFRSF18	chr1	1206355	1206855	1206591	-	14	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1207380-1207880	ENSG00000186891	TNFRSF18	chr1	1207380	1207880	1206591	-	1039	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1207935-1208435	ENSG00000186891	TNFRSF18	chr1	1207935	1208435	1206591	-	1594	stromal	method2b_glasso	1.0	0.0	0.0
chr1:1211731-1212231	ENSG00000186827	TNFRSF4	chr1	1211731	1212231	1214152	-	2171	stromal	method2b_glasso	1.0	0.0	0.0
