peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	rE2G_probability	rE2G_binary
chr1:817083-817583	ENSG00000187583	PLEKHN1	chr1	817083	817583	966481	+	149148	stromal	method5_re2g	0.22922424735011457	0.22922424735011457	1
chr1:817083-817583	ENSG00000187634	SAMD11	chr1	817083	817583	923922	+	106589	stromal	method5_re2g	0.9922601255469025	0.9922601255469025	1
chr1:817083-817583	ENSG00000187961	KLHL17	chr1	817083	817583	960583	+	143250	stromal	method5_re2g	0.38475625052701484	0.38475625052701484	1
chr1:817083-817583	ENSG00000188976	NOC2L	chr1	817083	817583	959308	-	141975	stromal	method5_re2g	0.9935491138998098	0.9935491138998098	1
chr1:817083-817583	ENSG00000284662	OR4F16	chr1	817083	817583	686653	-	130680	stromal	method5_re2g	0.9553947871960272	0.9553947871960272	1
chr1:817083-817583	ENSG00000284733	OR4F29	chr1	817083	817583	451677	-	365656	stromal	method5_re2g	0.938638667285438	0.938638667285438	1
chr1:817794-818294	ENSG00000187583	PLEKHN1	chr1	817794	818294	966481	+	148437	stromal	method5_re2g	0.22378106233059697	0.22378106233059697	1
chr1:817794-818294	ENSG00000187634	SAMD11	chr1	817794	818294	923922	+	105878	stromal	method5_re2g	0.9918570892281835	0.9918570892281835	1
chr1:817794-818294	ENSG00000187961	KLHL17	chr1	817794	818294	960583	+	142539	stromal	method5_re2g	0.3773559182538318	0.3773559182538318	1
chr1:817794-818294	ENSG00000188976	NOC2L	chr1	817794	818294	959308	-	141264	stromal	method5_re2g	0.9933413980703985	0.9933413980703985	1
chr1:817794-818294	ENSG00000284662	OR4F16	chr1	817794	818294	686653	-	131391	stromal	method5_re2g	0.9992866379443397	0.9992866379443397	1
chr1:817794-818294	ENSG00000284733	OR4F29	chr1	817794	818294	451677	-	366367	stromal	method5_re2g	0.9989543967941902	0.9989543967941902	1
chr1:818513-819013	ENSG00000187583	PLEKHN1	chr1	818513	819013	966481	+	147718	stromal	method5_re2g	0.21748096745091694	0.21748096745091694	1
chr1:818513-819013	ENSG00000187634	SAMD11	chr1	818513	819013	923922	+	105159	stromal	method5_re2g	0.9913717147035246	0.9913717147035246	1
chr1:818513-819013	ENSG00000187961	KLHL17	chr1	818513	819013	960583	+	141820	stromal	method5_re2g	0.36872016250686296	0.36872016250686296	1
chr1:818513-819013	ENSG00000188976	NOC2L	chr1	818513	819013	959308	-	140545	stromal	method5_re2g	0.9930889255408767	0.9930889255408767	1
chr1:818513-819013	ENSG00000284662	OR4F16	chr1	818513	819013	686653	-	132110	stromal	method5_re2g	0.9995603153182638	0.9995603153182638	1
chr1:818513-819013	ENSG00000284733	OR4F29	chr1	818513	819013	451677	-	367086	stromal	method5_re2g	0.9993144444961095	0.9993144444961095	1
chr1:819187-819687	ENSG00000187583	PLEKHN1	chr1	819187	819687	966481	+	147044	stromal	method5_re2g	0.20229120386476615	0.20229120386476615	1
chr1:819187-819687	ENSG00000187634	SAMD11	chr1	819187	819687	923922	+	104485	stromal	method5_re2g	0.9901260215914872	0.9901260215914872	1
chr1:819187-819687	ENSG00000187961	KLHL17	chr1	819187	819687	960583	+	141146	stromal	method5_re2g	0.3478315447498832	0.3478315447498832	1
chr1:819187-819687	ENSG00000188976	NOC2L	chr1	819187	819687	959308	-	139871	stromal	method5_re2g	0.9924312099187942	0.9924312099187942	1
chr1:819187-819687	ENSG00000284662	OR4F16	chr1	819187	819687	686653	-	132784	stromal	method5_re2g	0.9995064896525362	0.9995064896525362	1
chr1:819187-819687	ENSG00000284733	OR4F29	chr1	819187	819687	451677	-	367760	stromal	method5_re2g	0.9989756018130027	0.9989756018130027	1
chr1:819892-820392	ENSG00000187583	PLEKHN1	chr1	819892	820392	966481	+	146339	stromal	method5_re2g	0.20747258407671212	0.20747258407671212	1
chr1:819892-820392	ENSG00000187634	SAMD11	chr1	819892	820392	923922	+	103780	stromal	method5_re2g	0.9904682776315371	0.9904682776315371	1
chr1:819892-820392	ENSG00000187961	KLHL17	chr1	819892	820392	960583	+	140441	stromal	method5_re2g	0.35469307943917255	0.35469307943917255	1
chr1:819892-820392	ENSG00000188976	NOC2L	chr1	819892	820392	959308	-	139166	stromal	method5_re2g	0.9926510466763836	0.9926510466763836	1
chr1:819892-820392	ENSG00000284662	OR4F16	chr1	819892	820392	686653	-	133489	stromal	method5_re2g	0.9996992959350124	0.9996992959350124	1
chr1:819892-820392	ENSG00000284733	OR4F29	chr1	819892	820392	451677	-	368465	stromal	method5_re2g	0.9994686602258998	0.9994686602258998	1
chr1:820545-821045	ENSG00000187583	PLEKHN1	chr1	820545	821045	966481	+	145686	stromal	method5_re2g	0.20247498094666855	0.20247498094666855	1
chr1:820545-821045	ENSG00000187634	SAMD11	chr1	820545	821045	923922	+	103127	stromal	method5_re2g	0.989960252117165	0.989960252117165	1
chr1:820545-821045	ENSG00000187961	KLHL17	chr1	820545	821045	960583	+	139788	stromal	method5_re2g	0.34758743798450176	0.34758743798450176	1
chr1:820545-821045	ENSG00000188976	NOC2L	chr1	820545	821045	959308	-	138513	stromal	method5_re2g	0.9924155961788295	0.9924155961788295	1
chr1:820545-821045	ENSG00000284662	OR4F16	chr1	820545	821045	686653	-	134142	stromal	method5_re2g	0.9997179437084991	0.9997179437084991	1
chr1:820545-821045	ENSG00000284733	OR4F29	chr1	820545	821045	451677	-	369118	stromal	method5_re2g	0.9994574132952087	0.9994574132952087	1
chr1:821615-822115	ENSG00000187583	PLEKHN1	chr1	821615	822115	966481	+	144616	stromal	method5_re2g	0.2037148199035623	0.2037148199035623	1
chr1:821615-822115	ENSG00000187634	SAMD11	chr1	821615	822115	923922	+	102057	stromal	method5_re2g	0.9899692492217214	0.9899692492217214	1
chr1:821615-822115	ENSG00000187961	KLHL17	chr1	821615	822115	960583	+	138718	stromal	method5_re2g	0.34907274213630296	0.34907274213630296	1
chr1:821615-822115	ENSG00000188976	NOC2L	chr1	821615	822115	959308	-	137443	stromal	method5_re2g	0.9924610626921931	0.9924610626921931	1
chr1:821615-822115	ENSG00000284662	OR4F16	chr1	821615	822115	686653	-	135212	stromal	method5_re2g	0.9997762124423413	0.9997762124423413	1
chr1:821615-822115	ENSG00000284733	OR4F29	chr1	821615	822115	451677	-	370188	stromal	method5_re2g	0.9995920336238805	0.9995920336238805	1
chr1:822569-823069	ENSG00000187583	PLEKHN1	chr1	822569	823069	966481	+	143662	stromal	method5_re2g	0.20411747585534187	0.20411747585534187	1
chr1:822569-823069	ENSG00000187634	SAMD11	chr1	822569	823069	923922	+	101103	stromal	method5_re2g	0.989806244047983	0.989806244047983	1
chr1:822569-823069	ENSG00000187961	KLHL17	chr1	822569	823069	960583	+	137764	stromal	method5_re2g	0.3494868677773352	0.3494868677773352	1
