peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:965962-966462	ENSG00000186891	TNFRSF18	chr1	965962	966462	1206591	-	240379	immune	method4_paired	0.4583409	0.4583409	0.0	0.0
chr1:965962-966462	ENSG00000187583	PLEKHN1	chr1	965962	966462	966481	+	269	immune	method4_paired	0.47890207	0.47890207	0.0	0.0
chr1:1079770-1080270	ENSG00000186891	TNFRSF18	chr1	1079770	1080270	1206591	-	126571	immune	method4_paired	0.4621133	0.4621133	0.0	0.0
chr1:1136732-1137232	ENSG00000186827	TNFRSF4	chr1	1136732	1137232	1214152	-	77170	immune	method4_paired	0.46309093	0.46309093	0.0	0.0
chr1:1136732-1137232	ENSG00000186891	TNFRSF18	chr1	1136732	1137232	1206591	-	69609	immune	method4_paired	0.5446351	0.5446351	0.0	0.0
chr1:1136732-1137232	ENSG00000187583	PLEKHN1	chr1	1136732	1137232	966481	+	170501	immune	method4_paired	0.5213417	0.5213417	0.0	0.0
chr1:1137245-1137745	ENSG00000186827	TNFRSF4	chr1	1137245	1137745	1214152	-	76657	immune	method4_paired	0.49970362	0.49970362	0.0	0.0
chr1:1137245-1137745	ENSG00000186891	TNFRSF18	chr1	1137245	1137745	1206591	-	69096	immune	method4_paired	0.5705328	0.5705328	0.0	0.0
chr1:1137245-1137745	ENSG00000187583	PLEKHN1	chr1	1137245	1137745	966481	+	171014	immune	method4_paired	0.50935066	0.50935066	0.0	0.0
chr1:1206405-1206905	ENSG00000186827	TNFRSF4	chr1	1206405	1206905	1214152	-	7497	immune	method4_paired	0.5552657	0.5552657	0.0	0.0
chr1:1206405-1206905	ENSG00000186891	TNFRSF18	chr1	1206405	1206905	1206591	-	64	immune	method4_paired	0.6086641	0.6086641	0.0	0.0
chr1:1206405-1206905	ENSG00000187583	PLEKHN1	chr1	1206405	1206905	966481	+	240174	immune	method4_paired	0.5551252	0.5551252	0.0	0.0
chr1:1206926-1207426	ENSG00000186891	TNFRSF18	chr1	1206926	1207426	1206591	-	585	immune	method4_paired	0.48998296	0.48998296	0.0	0.0
chr1:1206926-1207426	ENSG00000187583	PLEKHN1	chr1	1206926	1207426	966481	+	240695	immune	method4_paired	0.47942793	0.47942793	0.0	0.0
chr1:1207948-1208448	ENSG00000186891	TNFRSF18	chr1	1207948	1208448	1206591	-	1607	immune	method4_paired	0.49538976	0.49538976	0.0	0.0
