peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:923614-924114	ENSG00000187634	SAMD11	chr1	923614	924114	923922	+	58	immune	method2b_glasso	1.0	0.0	0.0
chr1:924562-925062	ENSG00000187634	SAMD11	chr1	924562	925062	923922	+	890	immune	method2b_glasso	1.0	0.0	0.0
chr1:925428-925928	ENSG00000187634	SAMD11	chr1	925428	925928	923922	+	1756	immune	method2b_glasso	1.0	0.0	0.0
chr1:957067-957567	ENSG00000188976	NOC2L	chr1	957067	957567	959308	-	1991	immune	method2b_glasso	1.0	0.0	0.0
chr1:958503-959003	ENSG00000187961	KLHL17	chr1	958503	959003	960583	+	1830	immune	method2b_glasso	1.0	0.0	0.0
chr1:958503-959003	ENSG00000188976	NOC2L	chr1	958503	959003	959308	-	555	immune	method2b_glasso	1.0	0.0	0.0
chr1:959063-959563	ENSG00000187961	KLHL17	chr1	959063	959563	960583	+	1270	immune	method2b_glasso	1.0	0.0	0.0
chr1:959063-959563	ENSG00000188976	NOC2L	chr1	959063	959563	959308	-	5	immune	method2b_glasso	1.0	0.0	0.0
chr1:959617-960117	ENSG00000187961	KLHL17	chr1	959617	960117	960583	+	716	immune	method2b_glasso	1.0	0.0	0.0
chr1:959617-960117	ENSG00000188976	NOC2L	chr1	959617	960117	959308	-	559	immune	method2b_glasso	1.0	0.0	0.0
chr1:960299-960799	ENSG00000187961	KLHL17	chr1	960299	960799	960583	+	34	immune	method2b_glasso	1.0	0.0	0.0
chr1:960299-960799	ENSG00000188976	NOC2L	chr1	960299	960799	959308	-	1241	immune	method2b_glasso	1.0	0.0	0.0
chr1:961056-961556	ENSG00000187961	KLHL17	chr1	961056	961556	960583	+	723	immune	method2b_glasso	1.0	0.0	0.0
chr1:961056-961556	ENSG00000188976	NOC2L	chr1	961056	961556	959308	-	1998	immune	method2b_glasso	1.0	0.0	0.0
chr1:961746-962246	ENSG00000187961	KLHL17	chr1	961746	962246	960583	+	1413	immune	method2b_glasso	1.0	0.0	0.0
chr1:962415-962915	ENSG00000187961	KLHL17	chr1	962415	962915	960583	+	2082	immune	method2b_glasso	1.0	0.0	0.0
chr1:965448-965948	ENSG00000187583	PLEKHN1	chr1	965448	965948	966481	+	783	immune	method2b_glasso	1.0	0.0	0.0
chr1:965962-966462	ENSG00000187583	PLEKHN1	chr1	965962	966462	966481	+	269	immune	method2b_glasso	1.0	0.0	0.0
chr1:966730-967230	ENSG00000187583	PLEKHN1	chr1	966730	967230	966481	+	499	immune	method2b_glasso	1.0	0.0	0.0
chr1:967366-967866	ENSG00000187583	PLEKHN1	chr1	967366	967866	966481	+	1135	immune	method2b_glasso	1.0	0.0	0.0
