peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score
chr1:921002-921502	ENSG00000187634	SAMD11	chr1	921002	921502	923922	+	2670	epithelial	method3_abc	0.02057397988519937
chr1:923600-924100	ENSG00000187634	SAMD11	chr1	923600	924100	923922	+	72	epithelial	method3_abc	0.04002444577370439
chr1:959065-959565	ENSG00000187583	PLEKHN1	chr1	959065	959565	966481	+	7166	epithelial	method3_abc	0.04285302623564659
chr1:959065-959565	ENSG00000187642	PERM1	chr1	959065	959565	982116	-	22801	epithelial	method3_abc	0.021029785504541983
chr1:959065-959565	ENSG00000187961	KLHL17	chr1	959065	959565	960583	+	1268	epithelial	method3_abc	0.07558431510730206
chr1:959065-959565	ENSG00000188976	NOC2L	chr1	959065	959565	959308	-	7	epithelial	method3_abc	0.09181509921151812
chr1:960313-960813	ENSG00000187961	KLHL17	chr1	960313	960813	960583	+	20	epithelial	method3_abc	0.03695182833147213
chr1:960313-960813	ENSG00000188976	NOC2L	chr1	960313	960813	959308	-	1255	epithelial	method3_abc	0.030488995286024813
chr1:966209-966709	ENSG00000187583	PLEKHN1	chr1	966209	966709	966481	+	22	epithelial	method3_abc	0.028712479441933326
chr1:966772-967272	ENSG00000187583	PLEKHN1	chr1	966772	967272	966481	+	541	epithelial	method3_abc	0.03830923578351318
chr1:966772-967272	ENSG00000187961	KLHL17	chr1	966772	967272	960583	+	6439	epithelial	method3_abc	0.020197674788731478
chr1:999329-999829	ENSG00000188290	HES4	chr1	999329	999829	1000171	-	592	epithelial	method3_abc	0.021297183133660042
chr1:999969-1000469	ENSG00000187608	ISG15	chr1	999969	1000469	1001137	+	918	epithelial	method3_abc	0.07124007546387669
chr1:999969-1000469	ENSG00000187642	PERM1	chr1	999969	1000469	982116	-	18103	epithelial	method3_abc	0.027752779360271717
chr1:999969-1000469	ENSG00000188290	HES4	chr1	999969	1000469	1000171	-	48	epithelial	method3_abc	0.08199835500149061
chr1:1000618-1001118	ENSG00000187608	ISG15	chr1	1000618	1001118	1001137	+	269	epithelial	method3_abc	0.03815935327839056
chr1:1000618-1001118	ENSG00000188290	HES4	chr1	1000618	1001118	1000171	-	697	epithelial	method3_abc	0.03573507615344825
chr1:1001733-1002233	ENSG00000187608	ISG15	chr1	1001733	1002233	1001137	+	846	epithelial	method3_abc	0.0371735123615661
chr1:1001733-1002233	ENSG00000188290	HES4	chr1	1001733	1002233	1000171	-	1812	epithelial	method3_abc	0.032617765898551344
chr1:1006466-1006966	ENSG00000187608	ISG15	chr1	1006466	1006966	1001137	+	5579	epithelial	method3_abc	0.034041142636212704
chr1:1006466-1006966	ENSG00000188290	HES4	chr1	1006466	1006966	1000171	-	6545	epithelial	method3_abc	0.03162209253696774
chr1:1013182-1013682	ENSG00000188157	AGRN	chr1	1013182	1013682	1020119	+	6687	epithelial	method3_abc	0.02122102841309744
chr1:1019312-1019812	ENSG00000187583	PLEKHN1	chr1	1019312	1019812	966481	+	53081	epithelial	method3_abc	0.02357562418226935
chr1:1019312-1019812	ENSG00000187608	ISG15	chr1	1019312	1019812	1001137	+	18425	epithelial	method3_abc	0.041065539269632356
chr1:1019312-1019812	ENSG00000187642	PERM1	chr1	1019312	1019812	982116	-	37446	epithelial	method3_abc	0.031193361439243738
chr1:1019312-1019812	ENSG00000187961	KLHL17	chr1	1019312	1019812	960583	+	58979	epithelial	method3_abc	0.021468123382548013
chr1:1019312-1019812	ENSG00000188157	AGRN	chr1	1019312	1019812	1020119	+	557	epithelial	method3_abc	0.12845006268098344
chr1:1019312-1019812	ENSG00000188290	HES4	chr1	1019312	1019812	1000171	-	19391	epithelial	method3_abc	0.03973849442602197
chr1:1019312-1019812	ENSG00000188976	NOC2L	chr1	1019312	1019812	959308	-	60254	epithelial	method3_abc	0.02108391042087717
chr1:1019830-1020330	ENSG00000188157	AGRN	chr1	1019830	1020330	1020119	+	39	epithelial	method3_abc	0.06201848851934624
chr1:1021050-1021550	ENSG00000188157	AGRN	chr1	1021050	1021550	1020119	+	1181	epithelial	method3_abc	0.025812597555321774
chr1:1068525-1069025	ENSG00000237330	RNF223	chr1	1068525	1069025	1074305	-	5530	epithelial	method3_abc	0.027118804504002312
chr1:1069097-1069597	ENSG00000237330	RNF223	chr1	1069097	1069597	1074305	-	4958	epithelial	method3_abc	0.04882792872042378
chr1:1073712-1074212	ENSG00000237330	RNF223	chr1	1073712	1074212	1074305	-	343	epithelial	method3_abc	0.07658187322932011
chr1:1074509-1075009	ENSG00000237330	RNF223	chr1	1074509	1075009	1074305	-	454	epithelial	method3_abc	0.024861900165211354
chr1:1079787-1080287	ENSG00000237330	RNF223	chr1	1079787	1080287	1074305	-	5732	epithelial	method3_abc	0.023602763606620034
chr1:1109656-1110156	ENSG00000131591	C1orf159	chr1	1109656	1110156	1116360	-	6454	epithelial	method3_abc	0.025290330950637693
chr1:1115986-1116486	ENSG00000131591	C1orf159	chr1	1115986	1116486	1116360	-	124	epithelial	method3_abc	0.13379399329900762
chr1:1115986-1116486	ENSG00000237330	RNF223	chr1	1115986	1116486	1074305	-	41931	epithelial	method3_abc	0.022472735370046557
