peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:923600-924100	ENSG00000131591	C1orf159	chr1	923600	924100	1116360	-	192510	epithelial	method4_paired	0.47112235	0.47112235	0.0	0.0
chr1:923600-924100	ENSG00000188976	NOC2L	chr1	923600	924100	959308	-	35458	epithelial	method4_paired	0.49523467	0.49523467	0.0	0.0
chr1:923600-924100	ENSG00000221978	CCNL2	chr1	923600	924100	1399334	-	475484	epithelial	method4_paired	0.4636371	0.4636371	0.0	0.0
chr1:940079-940579	ENSG00000221978	CCNL2	chr1	940079	940579	1399334	-	459005	epithelial	method4_paired	0.47660077	0.47660077	0.0	0.0
chr1:959065-959565	ENSG00000131591	C1orf159	chr1	959065	959565	1116360	-	157045	epithelial	method4_paired	0.47825593	0.47825593	0.0	0.0
chr1:959065-959565	ENSG00000221978	CCNL2	chr1	959065	959565	1399334	-	440019	epithelial	method4_paired	0.51550186	0.51550186	0.0	0.0
chr1:999969-1000469	ENSG00000131591	C1orf159	chr1	999969	1000469	1116360	-	116141	epithelial	method4_paired	0.4523128	0.4523128	0.0	0.0
chr1:999969-1000469	ENSG00000160072	ATAD3B	chr1	999969	1000469	1471764	+	471545	epithelial	method4_paired	0.48548216	0.48548216	0.0	0.0
chr1:999969-1000469	ENSG00000188290	HES4	chr1	999969	1000469	1000171	-	48	epithelial	method4_paired	0.47345197	0.47345197	0.0	0.0
chr1:999969-1000469	ENSG00000221978	CCNL2	chr1	999969	1000469	1399334	-	399115	epithelial	method4_paired	0.46524942	0.46524942	0.0	0.0
chr1:1000618-1001118	ENSG00000160072	ATAD3B	chr1	1000618	1001118	1471764	+	470896	epithelial	method4_paired	0.46070024	0.46070024	0.0	0.0
chr1:1000618-1001118	ENSG00000188290	HES4	chr1	1000618	1001118	1000171	-	697	epithelial	method4_paired	0.50169617	0.50169617	0.0	0.0
chr1:1032918-1033418	ENSG00000160072	ATAD3B	chr1	1032918	1033418	1471764	+	438596	epithelial	method4_paired	0.4811307	0.4811307	0.0	0.0
chr1:1040602-1041102	ENSG00000131591	C1orf159	chr1	1040602	1041102	1116360	-	75508	epithelial	method4_paired	0.45208833	0.45208833	0.0	0.0
chr1:1040602-1041102	ENSG00000160072	ATAD3B	chr1	1040602	1041102	1471764	+	430912	epithelial	method4_paired	0.4631794	0.4631794	0.0	0.0
chr1:1059436-1059936	ENSG00000131591	C1orf159	chr1	1059436	1059936	1116360	-	56674	epithelial	method4_paired	0.49358526	0.49358526	0.0	0.0
chr1:1059436-1059936	ENSG00000160072	ATAD3B	chr1	1059436	1059936	1471764	+	412078	epithelial	method4_paired	0.52790886	0.52790886	0.0	0.0
chr1:1059436-1059936	ENSG00000188976	NOC2L	chr1	1059436	1059936	959308	-	100378	epithelial	method4_paired	0.48866695	0.48866695	0.0	0.0
chr1:1059436-1059936	ENSG00000197785	ATAD3A	chr1	1059436	1059936	1512161	+	452475	epithelial	method4_paired	0.45322084	0.45322084	0.0	0.0
chr1:1079787-1080287	ENSG00000131591	C1orf159	chr1	1079787	1080287	1116360	-	36323	epithelial	method4_paired	0.46109578	0.46109578	0.0	0.0
chr1:1079787-1080287	ENSG00000160072	ATAD3B	chr1	1079787	1080287	1471764	+	391727	epithelial	method4_paired	0.52487177	0.52487177	0.0	0.0
chr1:1109656-1110156	ENSG00000160072	ATAD3B	chr1	1109656	1110156	1471764	+	361858	epithelial	method4_paired	0.50581986	0.50581986	0.0	0.0
chr1:1115986-1116486	ENSG00000131584	ACAP3	chr1	1115986	1116486	1309608	-	193372	epithelial	method4_paired	0.4865711	0.4865711	0.0	0.0
chr1:1115986-1116486	ENSG00000131591	C1orf159	chr1	1115986	1116486	1116360	-	124	epithelial	method4_paired	0.52498156	0.52498156	0.0	0.0
chr1:1115986-1116486	ENSG00000160072	ATAD3B	chr1	1115986	1116486	1471764	+	355528	epithelial	method4_paired	0.5249113	0.5249113	0.0	0.0
chr1:1115986-1116486	ENSG00000188976	NOC2L	chr1	1115986	1116486	959308	-	156928	epithelial	method4_paired	0.45807797	0.45807797	0.0	0.0
chr1:1115986-1116486	ENSG00000197785	ATAD3A	chr1	1115986	1116486	1512161	+	395925	epithelial	method4_paired	0.46746197	0.46746197	0.0	0.0
chr1:1115986-1116486	ENSG00000221978	CCNL2	chr1	1115986	1116486	1399334	-	283098	epithelial	method4_paired	0.47280622	0.47280622	0.0	0.0
chr1:1122040-1122540	ENSG00000160072	ATAD3B	chr1	1122040	1122540	1471764	+	349474	epithelial	method4_paired	0.4576512	0.4576512	0.0	0.0
