peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:817081-817581	ENSG00000187608	ISG15	chr1	817081	817581	1001137	+	183806	immune	method2_cicero	0.4590380787849426	0.0	0.0
chr1:817081-817581	ENSG00000188290	HES4	chr1	817081	817581	1000171	-	182840	immune	method2_cicero	0.4590380787849426	0.0	0.0
chr1:819790-820290	ENSG00000187608	ISG15	chr1	819790	820290	1001137	+	181097	immune	method2_cicero	0.2733134329319	6.720754067441447e-36	8.828304087926717e-35
chr1:819790-820290	ENSG00000188290	HES4	chr1	819790	820290	1000171	-	180131	immune	method2_cicero	0.2733134329319	6.720754067441447e-36	8.828304087926717e-35
chr1:827273-827773	ENSG00000078808	SDF4	chr1	827273	827773	1232030	-	404507	immune	method2_cicero	0.3958640694618225	0.0	0.0
chr1:827273-827773	ENSG00000127054	INTS11	chr1	827273	827773	1324686	-	497163	immune	method2_cicero	0.33100688457489014	0.0	0.0
chr1:827273-827773	ENSG00000131584	ACAP3	chr1	827273	827773	1309608	-	482085	immune	method2_cicero	0.28101789951324463	6.431797961148434e-38	9.012194803841905e-37
chr1:827273-827773	ENSG00000131591	C1orf159	chr1	827273	827773	1116360	-	288837	immune	method2_cicero	0.29626011848449707	4.17727072215228e-42	6.639912643356713e-41
chr1:827273-827773	ENSG00000160087	UBE2J2	chr1	827273	827773	1273863	-	446340	immune	method2_cicero	0.3258017301559448	0.0	0.0
chr1:827273-827773	ENSG00000169972	PUSL1	chr1	827273	827773	1308596	+	481073	immune	method2_cicero	0.28101789951324463	6.431797961148434e-38	9.012194803841905e-37
chr1:827273-827773	ENSG00000176022	B3GALT6	chr1	827273	827773	1232236	+	404713	immune	method2_cicero	0.3958640694618225	0.0	0.0
chr1:827273-827773	ENSG00000186827	TNFRSF4	chr1	827273	827773	1214152	-	386629	immune	method2_cicero	0.2668303847312927	2.995996916031409e-34	3.725997871922006e-33
chr1:827273-827773	ENSG00000186891	TNFRSF18	chr1	827273	827773	1206591	-	379068	immune	method2_cicero	0.30744317173957825	2.802596928649634e-45	4.90454462513686e-44
chr1:827273-827773	ENSG00000187583	PLEKHN1	chr1	827273	827773	966481	+	138958	immune	method2_cicero	0.29948678612709045	5.016648502282845e-43	8.187786927049906e-42
chr1:827273-827773	ENSG00000187608	ISG15	chr1	827273	827773	1001137	+	173614	immune	method2_cicero	0.2860971987247467	2.7644563870476413e-39	4.0406264655199595e-38
chr1:827273-827773	ENSG00000187634	SAMD11	chr1	827273	827773	923922	+	96399	immune	method2_cicero	0.2751891314983368	2.1969172583178117e-36	2.9317687197425077e-35
chr1:827273-827773	ENSG00000187961	KLHL17	chr1	827273	827773	960583	+	133060	immune	method2_cicero	0.28396278619766235	1.0456772203081579e-38	1.5013155256446766e-37
chr1:827273-827773	ENSG00000188157	AGRN	chr1	827273	827773	1020119	+	192596	immune	method2_cicero	0.2995748519897461	4.736388809417882e-43	7.73516752307299e-42
chr1:827273-827773	ENSG00000188290	HES4	chr1	827273	827773	1000171	-	172648	immune	method2_cicero	0.2860971987247467	2.7644563870476413e-39	4.0406264655199595e-38
