peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	pvalue	fdr
chr1:921699-922199	ENSG00000187634	SAMD11	chr1	921699	922199	923922	+	1973	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:922442-922942	ENSG00000187634	SAMD11	chr1	922442	922942	923922	+	1230	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:923054-923554	ENSG00000187634	SAMD11	chr1	923054	923554	923922	+	618	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:923600-924100	ENSG00000187634	SAMD11	chr1	923600	924100	923922	+	72	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:924745-925245	ENSG00000187634	SAMD11	chr1	924745	925245	923922	+	1073	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:925445-925945	ENSG00000187634	SAMD11	chr1	925445	925945	923922	+	1773	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:957913-958413	ENSG00000188976	NOC2L	chr1	957913	958413	959308	-	1145	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:958527-959027	ENSG00000187961	KLHL17	chr1	958527	959027	960583	+	1806	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:958527-959027	ENSG00000188976	NOC2L	chr1	958527	959027	959308	-	531	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:959065-959565	ENSG00000187961	KLHL17	chr1	959065	959565	960583	+	1268	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:959065-959565	ENSG00000188976	NOC2L	chr1	959065	959565	959308	-	7	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:959579-960079	ENSG00000187961	KLHL17	chr1	959579	960079	960583	+	754	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:959579-960079	ENSG00000188976	NOC2L	chr1	959579	960079	959308	-	521	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:960313-960813	ENSG00000187961	KLHL17	chr1	960313	960813	960583	+	20	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:960313-960813	ENSG00000188976	NOC2L	chr1	960313	960813	959308	-	1255	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:960835-961335	ENSG00000187961	KLHL17	chr1	960835	961335	960583	+	502	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:960835-961335	ENSG00000188976	NOC2L	chr1	960835	961335	959308	-	1777	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:961468-961968	ENSG00000187961	KLHL17	chr1	961468	961968	960583	+	1135	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:962194-962694	ENSG00000187961	KLHL17	chr1	962194	962694	960583	+	1861	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:964092-964592	ENSG00000187583	PLEKHN1	chr1	964092	964592	966481	+	2139	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:964868-965368	ENSG00000187583	PLEKHN1	chr1	964868	965368	966481	+	1363	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:965658-966158	ENSG00000187583	PLEKHN1	chr1	965658	966158	966481	+	573	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:966209-966709	ENSG00000187583	PLEKHN1	chr1	966209	966709	966481	+	22	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:966772-967272	ENSG00000187583	PLEKHN1	chr1	966772	967272	966481	+	541	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:967565-968065	ENSG00000187583	PLEKHN1	chr1	967565	968065	966481	+	1334	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:968268-968768	ENSG00000187583	PLEKHN1	chr1	968268	968768	966481	+	2037	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:979989-980489	ENSG00000187642	PERM1	chr1	979989	980489	982116	-	1877	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:980543-981043	ENSG00000187642	PERM1	chr1	980543	981043	982116	-	1323	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:981191-981691	ENSG00000187642	PERM1	chr1	981191	981691	982116	-	675	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:981889-982389	ENSG00000187642	PERM1	chr1	981889	982389	982116	-	23	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:982865-983365	ENSG00000187642	PERM1	chr1	982865	983365	982116	-	999	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:984079-984579	ENSG00000187642	PERM1	chr1	984079	984579	982116	-	2213	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:998297-998797	ENSG00000188290	HES4	chr1	998297	998797	1000171	-	1624	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:998814-999314	ENSG00000187608	ISG15	chr1	998814	999314	1001137	+	2073	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:998814-999314	ENSG00000188290	HES4	chr1	998814	999314	1000171	-	1107	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:999329-999829	ENSG00000187608	ISG15	chr1	999329	999829	1001137	+	1558	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:999329-999829	ENSG00000188290	HES4	chr1	999329	999829	1000171	-	592	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:999969-1000469	ENSG00000187608	ISG15	chr1	999969	1000469	1001137	+	918	epithelial	method2b_glasso	1.0	0.0	0.0
chr1:999969-1000469	ENSG00000188290	HES4	chr1	999969	1000469	1000171	-	48	epithelial	method2b_glasso	1.0	0.0	0.0
