peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:817081-817581	B3GALT6	B3GALT6	chr1	817081	817581	1232236	+	414905	immune	method4_crosscohort	-0.55220324	-0.55220324	0.0	0.0
chr1:817081-817581	HES4	HES4	chr1	817081	817581	1000171	-	182840	immune	method4_crosscohort	-0.5004293	-0.5004293	0.0	0.0
chr1:817081-817581	KLHL17	KLHL17	chr1	817081	817581	960583	+	143252	immune	method4_crosscohort	0.5962462	0.5962462	0.0	0.0
chr1:817081-817581	PLEKHN1	PLEKHN1	chr1	817081	817581	966481	+	149150	immune	method4_crosscohort	0.511212	0.511212	0.0	0.0
chr1:817081-817581	SCNN1D	SCNN1D	chr1	817081	817581	1280435	+	463104	immune	method4_crosscohort	0.5776856	0.5776856	0.0	0.0
chr1:906603-907103	SCNN1D	SCNN1D	chr1	906603	907103	1280435	+	373582	immune	method4_crosscohort	0.4973509	0.4973509	0.0	0.0
chr1:999897-1000397	ANKRD65	ANKRD65	chr1	999897	1000397	1421768	-	421621	immune	method4_crosscohort	0.4689159	0.4689159	0.0	0.0
chr1:1019282-1019782	SAMD11	SAMD11	chr1	1019282	1019782	923922	+	95610	immune	method4_crosscohort	0.4726464	0.4726464	0.0	0.0
chr1:1032939-1033439	SDF4	SDF4	chr1	1032939	1033439	1232030	-	198841	immune	method4_crosscohort	0.45792618	0.45792618	0.0	0.0
chr1:1069125-1069625	ATAD3A	ATAD3A	chr1	1069125	1069625	1512161	+	442786	immune	method4_crosscohort	0.45312142	0.45312142	0.0	0.0
chr1:1069125-1069625	B3GALT6	B3GALT6	chr1	1069125	1069625	1232236	+	162861	immune	method4_crosscohort	0.57493824	0.57493824	0.0	0.0
chr1:1069125-1069625	CCNL2	CCNL2	chr1	1069125	1069625	1399334	-	329959	immune	method4_crosscohort	-0.55587333	-0.55587333	0.0	0.0
chr1:1069125-1069625	CPTP	CPTP	chr1	1069125	1069625	1324755	+	255380	immune	method4_crosscohort	-0.5285063	-0.5285063	0.0	0.0
chr1:1069125-1069625	DVL1	DVL1	chr1	1069125	1069625	1349417	-	280042	immune	method4_crosscohort	0.5491715	0.5491715	0.0	0.0
chr1:1069125-1069625	HES4	HES4	chr1	1069125	1069625	1000171	-	69204	immune	method4_crosscohort	0.48716128	0.48716128	0.0	0.0
chr1:1069125-1069625	KLHL17	KLHL17	chr1	1069125	1069625	960583	+	108792	immune	method4_crosscohort	-0.498574	-0.498574	0.0	0.0
chr1:1069125-1069625	MRPL20	MRPL20	chr1	1069125	1069625	1407292	-	337917	immune	method4_crosscohort	0.51451117	0.51451117	0.0	0.0
