peak_id	gene_id	gene_name	chrom	peak_start	peak_end	tss_pos	strand	distance_bp	compartment	method	score	r	pvalue	fdr
chr1:921002-921502	B3GALT6	B3GALT6	chr1	921002	921502	1232236	+	310984	epithelial	method4_crosscohort	0.45678505	0.45678505	0.0	0.0
chr1:923600-924100	ANKRD65	ANKRD65	chr1	923600	924100	1421768	-	497918	epithelial	method4_crosscohort	0.45464656	0.45464656	0.0	0.0
chr1:923600-924100	B3GALT6	B3GALT6	chr1	923600	924100	1232236	+	308386	epithelial	method4_crosscohort	0.53477687	0.53477687	0.0	0.0
chr1:923600-924100	KLHL17	KLHL17	chr1	923600	924100	960583	+	36733	epithelial	method4_crosscohort	0.45025215	0.45025215	0.0	0.0
chr1:923600-924100	MRPL20	MRPL20	chr1	923600	924100	1407292	-	483442	epithelial	method4_crosscohort	0.46736604	0.46736604	0.0	0.0
chr1:923600-924100	SCNN1D	SCNN1D	chr1	923600	924100	1280435	+	356585	epithelial	method4_crosscohort	0.48614734	0.48614734	0.0	0.0
chr1:923600-924100	UBE2J2	UBE2J2	chr1	923600	924100	1273863	-	350013	epithelial	method4_crosscohort	0.4814003	0.4814003	0.0	0.0
chr1:940079-940579	C1QTNF12	C1QTNF12	chr1	940079	940579	1246721	-	306392	epithelial	method4_crosscohort	-0.58499056	-0.58499056	0.0	0.0
chr1:940079-940579	CPTP	CPTP	chr1	940079	940579	1324755	+	384426	epithelial	method4_crosscohort	-0.5627111	-0.5627111	0.0	0.0
chr1:940079-940579	DVL1	DVL1	chr1	940079	940579	1349417	-	409088	epithelial	method4_crosscohort	-0.5528106	-0.5528106	0.0	0.0
chr1:940079-940579	HES4	HES4	chr1	940079	940579	1000171	-	59842	epithelial	method4_crosscohort	0.47652215	0.47652215	0.0	0.0
chr1:940079-940579	INTS11	INTS11	chr1	940079	940579	1324686	-	384357	epithelial	method4_crosscohort	-0.58002293	-0.58002293	0.0	0.0
chr1:940079-940579	PUSL1	PUSL1	chr1	940079	940579	1308596	+	368267	epithelial	method4_crosscohort	0.6018042	0.6018042	0.0	0.0
chr1:940079-940579	TNFRSF4	TNFRSF4	chr1	940079	940579	1214152	-	273823	epithelial	method4_crosscohort	0.54906416	0.54906416	0.0	0.0
chr1:940079-940579	TTLL10	TTLL10	chr1	940079	940579	1173879	+	233550	epithelial	method4_crosscohort	-0.48075065	-0.48075065	0.0	0.0
chr1:941558-942058	C1QTNF12	C1QTNF12	chr1	941558	942058	1246721	-	304913	epithelial	method4_crosscohort	-0.49949476	-0.49949476	0.0	0.0
chr1:941558-942058	CPTP	CPTP	chr1	941558	942058	1324755	+	382947	epithelial	method4_crosscohort	-0.4703454	-0.4703454	0.0	0.0
chr1:941558-942058	DVL1	DVL1	chr1	941558	942058	1349417	-	407609	epithelial	method4_crosscohort	-0.45873013	-0.45873013	0.0	0.0
chr1:941558-942058	INTS11	INTS11	chr1	941558	942058	1324686	-	382878	epithelial	method4_crosscohort	-0.50584054	-0.50584054	0.0	0.0
chr1:941558-942058	PUSL1	PUSL1	chr1	941558	942058	1308596	+	366788	epithelial	method4_crosscohort	0.48986506	0.48986506	0.0	0.0
chr1:941558-942058	TNFRSF4	TNFRSF4	chr1	941558	942058	1214152	-	272344	epithelial	method4_crosscohort	0.45460415	0.45460415	0.0	0.0
chr1:1006466-1006966	ANKRD65	ANKRD65	chr1	1006466	1006966	1421768	-	415052	epithelial	method4_crosscohort	-0.5179412	-0.5179412	0.0	0.0
chr1:1006466-1006966	AURKAIP1	AURKAIP1	chr1	1006466	1006966	1375206	-	368490	epithelial	method4_crosscohort	-0.52539575	-0.52539575	0.0	0.0
chr1:1006466-1006966	B3GALT6	B3GALT6	chr1	1006466	1006966	1232236	+	225520	epithelial	method4_crosscohort	-0.6403899	-0.6403899	0.0	0.0
chr1:1006466-1006966	C1QTNF12	C1QTNF12	chr1	1006466	1006966	1246721	-	240005	epithelial	method4_crosscohort	0.52606666	0.52606666	0.0	0.0
chr1:1006466-1006966	CCNL2	CCNL2	chr1	1006466	1006966	1399334	-	392618	epithelial	method4_crosscohort	-0.45656866	-0.45656866	0.0	0.0
